id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2009-01-01;6827.00000000;83.33999634;6798.00000000;82.98999786
NE;NORDESTE;2009-01-01;11930.00000000;86.37999725;11930.00000000;86.37999725
S;SUL;2009-01-01;2492.00000000;38.81000137;2474.00000000;38.52999878
SE;SUDESTE;2009-01-01;57366.00000000;107.37000275;54994.00000000;102.93000031
N;NORTE;2009-01-02;6807.00000000;83.09999847;6783.00000000;82.80000305
NE;NORDESTE;2009-01-02;12471.00000000;90.30000305;12471.00000000;90.30000305
S;SUL;2009-01-02;2614.00000000;40.70999908;2589.00000000;40.31999969
SE;SUDESTE;2009-01-02;56695.00000000;106.11000061;54296.00000000;101.62000275
N;NORTE;2009-01-03;6670.00000000;81.41999817;6654.00000000;81.23000336
NE;NORDESTE;2009-01-03;12759.00000000;92.37999725;12759.00000000;92.37999725
S;SUL;2009-01-03;3669.00000000;57.13999939;3649.00000000;56.83000183
SE;SUDESTE;2009-01-03;56740.00000000;106.19999695;54508.00000000;102.01999664
N;NORTE;2009-01-04;6499.00000000;79.33999634;6493.00000000;79.26000214
NE;NORDESTE;2009-01-04;13033.00000000;94.36000061;13033.00000000;94.36000061
S;SUL;2009-01-04;5594.00000000;87.12000275;5490.00000000;85.50000000
SE;SUDESTE;2009-01-04;56429.00000000;105.62000275;54237.00000000;101.51000214
N;NORTE;2009-01-05;6272.00000000;76.56999969;6267.00000000;76.50000000
NE;NORDESTE;2009-01-05;13557.00000000;98.16000366;13557.00000000;98.16000366
S;SUL;2009-01-05;5229.00000000;81.44000244;5154.00000000;80.26999664
SE;SUDESTE;2009-01-05;56527.00000000;105.80000305;53886.00000000;100.86000061
N;NORTE;2009-01-06;5959.00000000;72.73999786;5953.00000000;72.66999817
NE;NORDESTE;2009-01-06;13962.00000000;101.08999634;13962.00000000;101.08999634
S;SUL;2009-01-06;4326.00000000;67.37999725;4307.00000000;67.08000183
SE;SUDESTE;2009-01-06;58029.00000000;108.61000061;54313.00000000;101.65000153
N;NORTE;2009-01-07;5703.00000000;69.62000275;5694.00000000;69.51000214
NE;NORDESTE;2009-01-07;14453.00000000;104.65000153;14453.00000000;104.65000153
S;SUL;2009-01-07;3995.00000000;62.22000122;3977.00000000;61.93999863
SE;SUDESTE;2009-01-07;57034.00000000;106.75000000;52817.00000000;98.84999847
N;NORTE;2009-01-08;5514.00000000;67.30999756;5503.00000000;67.18000031
NE;NORDESTE;2009-01-08;15440.00000000;111.79000092;15105.00000000;109.37000275
S;SUL;2009-01-08;4201.00000000;65.43000031;4181.00000000;65.12000275
SE;SUDESTE;2009-01-08;54746.00000000;102.47000122;50813.00000000;95.09999847
N;NORTE;2009-01-09;5460.00000000;66.65000153;5449.00000000;66.51999664
NE;NORDESTE;2009-01-09;15954.00000000;115.51000214;15370.00000000;111.29000092
S;SUL;2009-01-09;4016.00000000;62.54999924;3996.00000000;62.24000168
SE;SUDESTE;2009-01-09;51760.00000000;96.87999725;48448.00000000;90.68000031
N;NORTE;2009-01-10;5482.00000000;66.91999817;5471.00000000;66.79000092
NE;NORDESTE;2009-01-10;16377.00000000;118.58000183;16008.00000000;115.91000366
S;SUL;2009-01-10;4301.00000000;66.98999786;4266.00000000;66.44000244
SE;SUDESTE;2009-01-10;48599.00000000;90.95999908;46332.00000000;86.72000122
N;NORTE;2009-01-11;5642.00000000;68.87000275;5631.00000000;68.73999786
NE;NORDESTE;2009-01-11;16819.00000000;121.77999878;16630.00000000;120.41000366
S;SUL;2009-01-11;4408.00000000;68.65000153;4358.00000000;67.87000275
SE;SUDESTE;2009-01-11;45805.00000000;85.73000336;44156.00000000;82.63999939
N;NORTE;2009-01-12;5807.00000000;70.88999939;5796.00000000;70.75000000
NE;NORDESTE;2009-01-12;17282.00000000;125.12999725;17117.00000000;123.93000031
S;SUL;2009-01-12;5001.00000000;77.88999939;4981.00000000;77.58000183
SE;SUDESTE;2009-01-12;43033.00000000;80.54000092;41763.00000000;78.16999817
N;NORTE;2009-01-13;6003.00000000;73.27999878;5992.00000000;73.15000153
NE;NORDESTE;2009-01-13;17564.00000000;127.16999817;17421.00000000;126.13999939
S;SUL;2009-01-13;4806.00000000;74.84999847;4787.00000000;74.55999756
SE;SUDESTE;2009-01-13;40634.00000000;76.05000305;39698.00000000;74.30000305
N;NORTE;2009-01-14;6177.00000000;75.41000366;6166.00000000;75.26999664
NE;NORDESTE;2009-01-14;17611.00000000;127.51000214;17594.00000000;127.38999939
S;SUL;2009-01-14;4445.00000000;69.23000336;4424.00000000;68.90000153
SE;SUDESTE;2009-01-14;38646.00000000;72.33000183;37988.00000000;71.09999847
N;NORTE;2009-01-15;6307.00000000;76.98999786;6296.00000000;76.86000061
NE;NORDESTE;2009-01-15;17565.00000000;127.18000031;17565.00000000;127.18000031
S;SUL;2009-01-15;4198.00000000;65.37999725;4178.00000000;65.06999969
SE;SUDESTE;2009-01-15;37498.00000000;70.18000031;36973.00000000;69.19999695
N;NORTE;2009-01-16;6407.00000000;78.20999908;6396.00000000;78.08000183
NE;NORDESTE;2009-01-16;17615.00000000;127.54000092;17615.00000000;127.54000092
S;SUL;2009-01-16;4123.00000000;64.20999908;4103.00000000;63.90000153
SE;SUDESTE;2009-01-16;37465.00000000;70.12000275;36897.00000000;69.05999756
N;NORTE;2009-01-17;6436.00000000;78.56999969;6425.00000000;78.43000031
NE;NORDESTE;2009-01-17;17658.00000000;127.84999847;17658.00000000;127.84999847
S;SUL;2009-01-17;4287.00000000;66.76999664;4235.00000000;65.95999908
SE;SUDESTE;2009-01-17;38452.00000000;71.97000122;37793.00000000;70.73999786
N;NORTE;2009-01-18;6326.00000000;77.22000122;6315.00000000;77.08999634
NE;NORDESTE;2009-01-18;17659.00000000;127.86000061;17659.00000000;127.86000061
S;SUL;2009-01-18;4709.00000000;73.33999634;4684.00000000;72.94999695
SE;SUDESTE;2009-01-18;39861.00000000;74.61000061;39290.00000000;73.54000092
N;NORTE;2009-01-19;6206.00000000;75.76000214;6202.00000000;75.70999908
NE;NORDESTE;2009-01-19;17689.00000000;128.08000183;17689.00000000;128.08000183
S;SUL;2009-01-19;5295.00000000;82.47000122;5266.00000000;82.01999664
SE;SUDESTE;2009-01-19;41960.00000000;78.52999878;41261.00000000;77.23000336
N;NORTE;2009-01-20;6179.00000000;75.43000031;6179.00000000;75.43000031
NE;NORDESTE;2009-01-20;17695.00000000;128.11999512;17695.00000000;128.11999512
S;SUL;2009-01-20;5585.00000000;86.98000336;5565.00000000;86.66999817
SE;SUDESTE;2009-01-20;44501.00000000;83.29000092;43683.00000000;81.76000214
N;NORTE;2009-01-21;6220.00000000;75.93000031;6217.00000000;75.88999939
NE;NORDESTE;2009-01-21;17711.00000000;128.24000549;17711.00000000;128.24000549
S;SUL;2009-01-21;6006.00000000;93.54000092;5987.00000000;93.25000000
SE;SUDESTE;2009-01-21;48437.00000000;90.66000366;47252.00000000;88.44000244
N;NORTE;2009-01-22;6374.00000000;77.80999756;6360.00000000;77.63999939
NE;NORDESTE;2009-01-22;17813.00000000;128.97000122;17813.00000000;128.97000122
S;SUL;2009-01-22;5378.00000000;83.76000214;5358.00000000;83.44999695
SE;SUDESTE;2009-01-22;52350.00000000;97.98000336;50112.00000000;93.79000092
N;NORTE;2009-01-23;6549.00000000;79.94999695;6532.00000000;79.73999786
NE;NORDESTE;2009-01-23;17887.00000000;129.50999451;17887.00000000;129.50999451
S;SUL;2009-01-23;5125.00000000;79.81999969;5105.00000000;79.51000214
SE;SUDESTE;2009-01-23;56418.00000000;105.58999634;51436.00000000;96.26999664
N;NORTE;2009-01-24;6703.00000000;81.83000183;6686.00000000;81.62000275
NE;NORDESTE;2009-01-24;18037.00000000;130.60000610;18037.00000000;130.60000610
S;SUL;2009-01-24;4332.00000000;67.47000122;4312.00000000;67.16000366
SE;SUDESTE;2009-01-24;58647.00000000;109.76999664;53776.00000000;100.65000153
N;NORTE;2009-01-25;6865.00000000;83.80000305;6848.00000000;83.59999847
NE;NORDESTE;2009-01-25;18038.00000000;130.60000610;17991.00000000;130.25999451
S;SUL;2009-01-25;4113.00000000;64.05999756;4094.00000000;63.75999832
SE;SUDESTE;2009-01-25;60153.00000000;112.58999634;56255.00000000;105.29000092
N;NORTE;2009-01-26;6980.00000000;85.20999908;6963.00000000;85.00000000
NE;NORDESTE;2009-01-26;18151.00000000;131.41999817;17660.00000000;127.87000275
S;SUL;2009-01-26;4249.00000000;66.18000031;4230.00000000;65.87999725
SE;SUDESTE;2009-01-26;61340.00000000;114.80999756;56877.00000000;106.44999695
N;NORTE;2009-01-27;6980.00000000;85.20999908;6963.00000000;85.00000000
NE;NORDESTE;2009-01-27;17442.00000000;126.29000092;17262.00000000;124.98000336
S;SUL;2009-01-27;4308.00000000;67.09999847;4288.00000000;66.77999878
SE;SUDESTE;2009-01-27;63519.00000000;118.88999939;58452.00000000;109.40000153
N;NORTE;2009-01-28;7016.00000000;85.65000153;6999.00000000;85.44000244
