id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2012-01-01;6947.00000000;84.80999756;6947.00000000;84.80999756
NE;NORDESTE;2012-01-01;14871.00000000;107.66999817;14871.00000000;107.66999817
S;SUL;2012-01-01;4217.00000000;59.13000107;4175.00000000;58.54000092
SE;SUDESTE;2012-01-01;51407.00000000;93.47000122;46488.00000000;84.52999878
N;NORTE;2012-01-02;6808.00000000;83.11000061;6808.00000000;83.11000061
NE;NORDESTE;2012-01-02;15146.00000000;109.66000366;15102.00000000;109.34999847
S;SUL;2012-01-02;4649.00000000;65.18000031;4555.00000000;63.86999893
SE;SUDESTE;2012-01-02;56085.00000000;101.98000336;52032.00000000;94.61000061
N;NORTE;2012-01-03;6677.00000000;81.51000214;6677.00000000;81.51000214
NE;NORDESTE;2012-01-03;15568.00000000;112.72000122;15447.00000000;111.83999634
S;SUL;2012-01-03;4689.00000000;65.75000000;4600.00000000;64.50000000
SE;SUDESTE;2012-01-03;62970.00000000;114.50000000;57387.00000000;104.34999847
N;NORTE;2012-01-04;6693.00000000;81.70999908;6693.00000000;81.70999908
NE;NORDESTE;2012-01-04;15918.00000000;115.25000000;15859.00000000;114.83000183
S;SUL;2012-01-04;4345.00000000;60.91999817;4306.00000000;60.38000107
SE;SUDESTE;2012-01-04;69045.00000000;125.54000092;61729.00000000;112.23999786
N;NORTE;2012-01-05;6853.00000000;83.66000366;6853.00000000;83.66000366
NE;NORDESTE;2012-01-05;16325.00000000;118.19999695;15941.00000000;115.41999817
S;SUL;2012-01-05;3976.00000000;55.75000000;3937.00000000;55.20000076
SE;SUDESTE;2012-01-05;71976.00000000;130.86999512;62657.00000000;113.93000031
N;NORTE;2012-01-06;7090.00000000;86.55000305;7090.00000000;86.55000305
NE;NORDESTE;2012-01-06;16547.00000000;119.80999756;16136.00000000;116.83000183
S;SUL;2012-01-06;3747.00000000;52.54000092;3703.00000000;51.91999817
SE;SUDESTE;2012-01-06;71961.00000000;130.85000610;62694.00000000;114.00000000
N;NORTE;2012-01-07;7411.00000000;90.47000122;7411.00000000;90.47000122
NE;NORDESTE;2012-01-07;16783.00000000;121.51999664;16506.00000000;119.51000214
S;SUL;2012-01-07;3597.00000000;50.43000031;3557.00000000;49.86999893
SE;SUDESTE;2012-01-07;72583.00000000;131.97999573;63850.00000000;116.09999847
N;NORTE;2012-01-08;7862.00000000;95.98000336;7862.00000000;95.98000336
NE;NORDESTE;2012-01-08;17161.00000000;124.25000000;16782.00000000;121.51000214
S;SUL;2012-01-08;3393.00000000;47.56999969;3330.00000000;46.68999863
SE;SUDESTE;2012-01-08;73004.00000000;132.74000549;64009.00000000;116.38999939
N;NORTE;2012-01-09;8469.00000000;103.38999939;8469.00000000;103.38999939
NE;NORDESTE;2012-01-09;17065.00000000;123.55999756;16764.00000000;121.37999725
S;SUL;2012-01-09;3225.00000000;45.22000122;3185.00000000;44.65999985
SE;SUDESTE;2012-01-09;76174.00000000;138.50999451;66558.00000000;121.01999664
N;NORTE;2012-01-10;9339.00000000;114.01000214;9339.00000000;114.01000214
NE;NORDESTE;2012-01-10;17086.00000000;123.70999908;16837.00000000;121.91000366
S;SUL;2012-01-10;3183.00000000;44.63000107;3137.00000000;43.97999954
SE;SUDESTE;2012-01-10;79046.00000000;143.72999573;69176.00000000;125.77999878
N;NORTE;2012-01-11;10270.00000000;125.37000275;10270.00000000;125.37000275
NE;NORDESTE;2012-01-11;17240.00000000;124.83000183;17026.00000000;123.27999878
S;SUL;2012-01-11;3064.00000000;42.95999908;3024.00000000;42.40000153
SE;SUDESTE;2012-01-11;81420.00000000;148.05000305;71638.00000000;130.25999451
N;NORTE;2012-01-12;11013.00000000;134.44000244;11013.00000000;134.44000244
NE;NORDESTE;2012-01-12;17293.00000000;125.20999908;17149.00000000;124.16999817
S;SUL;2012-01-12;3312.00000000;46.43999863;3272.00000000;45.88000107
SE;SUDESTE;2012-01-12;83867.00000000;152.49000549;74741.00000000;135.89999390
N;NORTE;2012-01-13;11874.00000000;144.94999695;11874.00000000;144.94999695
NE;NORDESTE;2012-01-13;17361.00000000;125.69999695;17175.00000000;124.34999847
S;SUL;2012-01-13;4353.00000000;61.02999878;4280.00000000;60.00999832
SE;SUDESTE;2012-01-13;83208.00000000;151.30000305;75312.00000000;136.94000244
N;NORTE;2012-01-14;12573.00000000;153.49000549;12573.00000000;153.49000549
NE;NORDESTE;2012-01-14;17499.00000000;126.69999695;17366.00000000;125.73999786
S;SUL;2012-01-14;9544.00000000;133.82000732;8941.00000000;125.36000061
SE;SUDESTE;2012-01-14;81187.00000000;147.61999512;74352.00000000;135.19000244
N;NORTE;2012-01-15;12741.00000000;155.53999329;12741.00000000;155.53999329
NE;NORDESTE;2012-01-15;17508.00000000;126.76999664;17393.00000000;125.93000031
S;SUL;2012-01-15;12248.00000000;171.72999573;11227.00000000;157.41999817
SE;SUDESTE;2012-01-15;80350.00000000;146.10000610;74340.00000000;135.16999817
N;NORTE;2012-01-16;12801.00000000;156.27000427;12801.00000000;156.27000427
NE;NORDESTE;2012-01-16;17683.00000000;128.02999878;17576.00000000;127.26000214
S;SUL;2012-01-16;11488.00000000;161.08000183;10796.00000000;151.36999512
SE;SUDESTE;2012-01-16;78354.00000000;142.47000122;73570.00000000;133.77000427
N;NORTE;2012-01-17;12938.00000000;157.94000244;12938.00000000;157.94000244
NE;NORDESTE;2012-01-17;17802.00000000;128.88999939;17718.00000000;128.28999329
S;SUL;2012-01-17;9569.00000000;134.16999817;9074.00000000;127.23000336
SE;SUDESTE;2012-01-17;77555.00000000;141.02000427;72034.00000000;130.97999573
N;NORTE;2012-01-18;13098.00000000;159.88999939;13091.00000000;159.80999756
NE;NORDESTE;2012-01-18;17770.00000000;128.66000366;17712.00000000;128.24000549
S;SUL;2012-01-18;8497.00000000;119.13999939;8161.00000000;114.43000031
SE;SUDESTE;2012-01-18;77909.00000000;141.66000366;71604.00000000;130.19999695
N;NORTE;2012-01-19;13348.00000000;162.94999695;13332.00000000;162.75000000
NE;NORDESTE;2012-01-19;17794.00000000;128.83999634;17794.00000000;128.83999634
S;SUL;2012-01-19;7983.00000000;111.93000031;7660.00000000;107.40000153
SE;SUDESTE;2012-01-19;78576.00000000;142.86999512;71812.00000000;130.58000183
N;NORTE;2012-01-20;13678.00000000;166.97000122;13663.00000000;166.78999329
NE;NORDESTE;2012-01-20;17824.00000000;129.05000305;17824.00000000;129.05000305
S;SUL;2012-01-20;7687.00000000;107.77999878;7540.00000000;105.72000122
SE;SUDESTE;2012-01-20;78010.00000000;141.83999634;71229.00000000;129.52000427
N;NORTE;2012-01-21;13772.00000000;168.11999512;13756.00000000;167.92999268
NE;NORDESTE;2012-01-21;17786.00000000;128.77999878;17786.00000000;128.77999878
S;SUL;2012-01-21;7421.00000000;104.05000305;7365.00000000;103.26999664
SE;SUDESTE;2012-01-21;76878.00000000;139.78999329;69568.00000000;126.48999786
N;NORTE;2012-01-22;13678.00000000;166.97000122;13663.00000000;166.78999329
NE;NORDESTE;2012-01-22;17628.00000000;127.62999725;17628.00000000;127.62999725
S;SUL;2012-01-22;7343.00000000;102.95999908;7294.00000000;102.26999664
SE;SUDESTE;2012-01-22;76077.00000000;138.33000183;66714.00000000;121.30999756
N;NORTE;2012-01-23;13556.00000000;165.49000549;13530.00000000;165.16999817
NE;NORDESTE;2012-01-23;17670.00000000;127.94000244;17670.00000000;127.94000244
S;SUL;2012-01-23;7494.00000000;105.06999969;7448.00000000;104.43000031
SE;SUDESTE;2012-01-23;74119.00000000;134.77000427;65115.00000000;118.40000153
N;NORTE;2012-01-24;13636.00000000;166.46000671;13234.00000000;161.55000305
NE;NORDESTE;2012-01-24;17557.00000000;127.12000275;17557.00000000;127.12000275
S;SUL;2012-01-24;8019.00000000;112.44000244;7964.00000000;111.66000366
SE;SUDESTE;2012-01-24;72068.00000000;131.03999329;65442.00000000;118.98999786
N;NORTE;2012-01-25;13845.00000000;169.00999451;13052.00000000;159.33000183
NE;NORDESTE;2012-01-25;17660.00000000;127.87000275;17660.00000000;127.87000275
S;SUL;2012-01-25;10056.00000000;141.00000000;9954.00000000;139.57000732
SE;SUDESTE;2012-01-25;70748.00000000;128.63999939;64153.00000000;116.65000153
N;NORTE;2012-01-26;14121.00000000;172.38000488;12588.00000000;153.66999817
NE;NORDESTE;2012-01-26;17578.00000000;127.26999664;17578.00000000;127.26999664
S;SUL;2012-01-26;10812.00000000;151.60000610;10553.00000000;147.97000122
SE;SUDESTE;2012-01-26;68880.00000000;125.23999786;62035.00000000;112.80000305
N;NORTE;2012-01-27;14405.00000000;175.85000610;12350.00000000;150.75999451
NE;NORDESTE;2012-01-27;17505.00000000;126.73999786;17505.00000000;126.73999786
S;SUL;2012-01-27;9880.00000000;138.52999878;9656.00000000;135.38999939
SE;SUDESTE;2012-01-27;67771.00000000;123.23000336;59315.00000000;107.84999847
N;NORTE;2012-01-28;14739.00000000;179.92999268;12120.00000000;147.96000671
NE;NORDESTE;2012-01-28;17415.00000000;126.08999634;17415.00000000;126.08999634
S;SUL;2012-01-28;8576.00000000;120.25000000;8459.00000000;118.61000061
SE;SUDESTE;2012-01-28;66607.00000000;121.11000061;55979.00000000;101.79000092
N;NORTE;2012-01-29;14987.00000000;182.94999695;11816.00000000;144.24000549
NE;NORDESTE;2012-01-29;17319.00000000;125.40000153;17319.00000000;125.40000153
S;SUL;2012-01-29;7412.00000000;103.91999817;7346.00000000;103.00000000
SE;SUDESTE;2012-01-29;66007.00000000;120.01999664;52685.00000000;95.80000305
N;NORTE;2012-01-30;14896.00000000;181.83999634;11423.00000000;139.44999695
NE;NORDESTE;2012-01-30;17230.00000000;124.75000000;17230.00000000;124.75000000
S;SUL;2012-01-30;6596.00000000;92.48000336;6551.00000000;91.84999847
