id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2014-01-01;12226.00000000;127.00000000;11373.00000000;118.13999939
NE;NORDESTE;2014-01-01;14889.00000000;107.80000305;14478.00000000;104.83000183
S;SUL;2014-01-01;6496.00000000;85.68000031;6292.00000000;82.98999786
SE;SUDESTE;2014-01-01;40460.00000000;73.16999817;38964.00000000;70.45999908
N;NORTE;2014-01-02;12227.00000000;127.01999664;11518.00000000;119.65000153
NE;NORDESTE;2014-01-02;14473.00000000;104.79000092;14266.00000000;103.29000092
S;SUL;2014-01-02;7384.00000000;97.40000153;6976.00000000;92.01999664
SE;SUDESTE;2014-01-02;39692.00000000;71.77999878;38726.00000000;70.02999878
N;NORTE;2014-01-03;12112.00000000;125.81999969;11736.00000000;121.91000366
NE;NORDESTE;2014-01-03;14281.00000000;103.40000153;14281.00000000;103.40000153
S;SUL;2014-01-03;9357.00000000;123.41999817;8873.00000000;117.04000092
SE;SUDESTE;2014-01-03;38834.00000000;70.23000336;37958.00000000;68.63999939
N;NORTE;2014-01-04;12039.00000000;125.05999756;11949.00000000;124.12999725
NE;NORDESTE;2014-01-04;14175.00000000;102.62999725;14175.00000000;102.62999725
S;SUL;2014-01-04;11154.00000000;147.11999512;10196.00000000;134.49000549
SE;SUDESTE;2014-01-04;37977.00000000;68.68000031;37090.00000000;67.06999969
N;NORTE;2014-01-05;11752.00000000;122.08000183;11752.00000000;122.08000183
NE;NORDESTE;2014-01-05;14051.00000000;101.73999786;14051.00000000;101.73999786
S;SUL;2014-01-05;10744.00000000;141.72000122;10031.00000000;132.30999756
SE;SUDESTE;2014-01-05;34625.00000000;62.61999893;33841.00000000;61.20000076
N;NORTE;2014-01-06;11409.00000000;118.51999664;11409.00000000;118.51999664
NE;NORDESTE;2014-01-06;14001.00000000;101.37000275;14001.00000000;101.37000275
S;SUL;2014-01-06;10047.00000000;132.52000427;9736.00000000;128.41999817
SE;SUDESTE;2014-01-06;33458.00000000;60.50999832;32974.00000000;59.63000107
N;NORTE;2014-01-07;11019.00000000;114.47000122;11019.00000000;114.47000122
NE;NORDESTE;2014-01-07;13971.00000000;101.16000366;13971.00000000;101.16000366
S;SUL;2014-01-07;9572.00000000;126.26000214;9459.00000000;124.76999664
SE;SUDESTE;2014-01-07;32488.00000000;58.75000000;32030.00000000;57.91999817
N;NORTE;2014-01-08;10328.00000000;107.29000092;10328.00000000;107.29000092
NE;NORDESTE;2014-01-08;14034.00000000;101.61000061;14034.00000000;101.61000061
S;SUL;2014-01-08;9006.00000000;118.79000092;8942.00000000;117.94999695
SE;SUDESTE;2014-01-08;31418.00000000;56.81999969;31077.00000000;56.20000076
N;NORTE;2014-01-09;9648.00000000;100.22000122;9648.00000000;100.22000122
NE;NORDESTE;2014-01-09;14140.00000000;102.37999725;14140.00000000;102.37999725
S;SUL;2014-01-09;8930.00000000;117.79000092;8872.00000000;117.01999664
SE;SUDESTE;2014-01-09;30272.00000000;54.74000168;29925.00000000;54.11999893
N;NORTE;2014-01-10;9219.00000000;95.76999664;9219.00000000;95.76999664
NE;NORDESTE;2014-01-10;14252.00000000;103.19000244;14243.00000000;103.12999725
S;SUL;2014-01-10;8955.00000000;118.12000275;8897.00000000;117.34999847
SE;SUDESTE;2014-01-10;29110.00000000;52.63999939;28664.00000000;51.84000015
N;NORTE;2014-01-11;9003.00000000;93.51999664;9003.00000000;93.51999664
NE;NORDESTE;2014-01-11;14355.00000000;103.94000244;14355.00000000;103.94000244
S;SUL;2014-01-11;10038.00000000;132.39999390;9905.00000000;130.64999390
SE;SUDESTE;2014-01-11;27979.00000000;50.59999847;27562.00000000;49.84000015
N;NORTE;2014-01-12;8980.00000000;93.29000092;8980.00000000;93.29000092
NE;NORDESTE;2014-01-12;14379.00000000;104.11000061;14379.00000000;104.11000061
S;SUL;2014-01-12;12004.00000000;158.33999634;11216.00000000;147.94000244
SE;SUDESTE;2014-01-12;27127.00000000;49.06000137;26807.00000000;48.47999954
N;NORTE;2014-01-13;8977.00000000;93.25000000;8977.00000000;93.25000000
NE;NORDESTE;2014-01-13;14324.00000000;103.70999908;14324.00000000;103.70999908
S;SUL;2014-01-13;15077.00000000;198.86999512;14135.00000000;186.44000244
SE;SUDESTE;2014-01-13;26920.00000000;48.68000031;26642.00000000;48.18000031
N;NORTE;2014-01-14;8971.00000000;93.19000244;8971.00000000;93.19000244
NE;NORDESTE;2014-01-14;14122.00000000;102.25000000;14116.00000000;102.20999908
S;SUL;2014-01-14;17094.00000000;225.47999573;16185.00000000;213.49000549
SE;SUDESTE;2014-01-14;26811.00000000;48.49000168;26522.00000000;47.95999908
N;NORTE;2014-01-15;8969.00000000;93.16999817;8969.00000000;93.16999817
NE;NORDESTE;2014-01-15;13856.00000000;100.31999969;13856.00000000;100.31999969
S;SUL;2014-01-15;16620.00000000;219.22000122;15863.00000000;209.24000549
SE;SUDESTE;2014-01-15;27181.00000000;49.15000153;26916.00000000;48.66999817
N;NORTE;2014-01-16;8968.00000000;93.16000366;8968.00000000;93.16000366
NE;NORDESTE;2014-01-16;13411.00000000;97.09999847;13411.00000000;97.09999847
S;SUL;2014-01-16;16230.00000000;214.08000183;15303.00000000;201.85000610
SE;SUDESTE;2014-01-16;27642.00000000;49.99000168;27357.00000000;49.47000122
N;NORTE;2014-01-17;8897.00000000;92.41999817;8897.00000000;92.41999817
NE;NORDESTE;2014-01-17;12729.00000000;92.16000366;12722.00000000;92.11000061
S;SUL;2014-01-17;16098.00000000;212.33999634;15402.00000000;203.16000366
SE;SUDESTE;2014-01-17;27839.00000000;50.34000015;27585.00000000;49.88000107
N;NORTE;2014-01-18;8825.00000000;91.66999817;8825.00000000;91.66999817
NE;NORDESTE;2014-01-18;11703.00000000;84.73999786;11689.00000000;84.62999725
S;SUL;2014-01-18;14408.00000000;190.05000305;13758.00000000;181.47000122
SE;SUDESTE;2014-01-18;28074.00000000;50.77000046;27753.00000000;50.18999863
N;NORTE;2014-01-19;8791.00000000;91.31999969;8791.00000000;91.31999969
NE;NORDESTE;2014-01-19;10479.00000000;75.87000275;10454.00000000;75.69000244
S;SUL;2014-01-19;12835.00000000;169.30000305;12211.00000000;161.07000732
SE;SUDESTE;2014-01-19;27754.00000000;50.18999863;27447.00000000;49.63999939
N;NORTE;2014-01-20;8823.00000000;91.65000153;8823.00000000;91.65000153
NE;NORDESTE;2014-01-20;9252.00000000;66.98999786;9252.00000000;66.98999786
S;SUL;2014-01-20;11303.00000000;149.08999634;10994.00000000;145.00999451
SE;SUDESTE;2014-01-20;28054.00000000;50.72999954;27791.00000000;50.25999832
N;NORTE;2014-01-21;8898.00000000;92.43000031;8898.00000000;92.43000031
NE;NORDESTE;2014-01-21;8181.00000000;59.22999954;8181.00000000;59.22999954
S;SUL;2014-01-21;10195.00000000;134.47999573;9963.00000000;131.41999817
SE;SUDESTE;2014-01-21;28174.00000000;50.95000076;27843.00000000;50.34999847
N;NORTE;2014-01-22;9046.00000000;93.97000122;9046.00000000;93.97000122
NE;NORDESTE;2014-01-22;7351.00000000;53.22000122;7351.00000000;53.22000122
S;SUL;2014-01-22;9248.00000000;121.98000336;9077.00000000;119.73000336
SE;SUDESTE;2014-01-22;28804.00000000;52.09000015;28533.00000000;51.59999847
N;NORTE;2014-01-23;9239.00000000;95.98000336;9239.00000000;95.98000336
NE;NORDESTE;2014-01-23;6715.00000000;48.61999893;6715.00000000;48.61999893
S;SUL;2014-01-23;8488.00000000;111.95999908;8345.00000000;110.06999969
SE;SUDESTE;2014-01-23;29081.00000000;52.59000015;28650.00000000;51.81000137
N;NORTE;2014-01-24;9446.00000000;98.12999725;9446.00000000;98.12999725
NE;NORDESTE;2014-01-24;6262.00000000;45.34000015;6262.00000000;45.34000015
S;SUL;2014-01-24;7846.00000000;103.48999786;7727.00000000;101.91999817
SE;SUDESTE;2014-01-24;29045.00000000;52.52999878;28525.00000000;51.58000183
N;NORTE;2014-01-25;9693.00000000;100.69000244;9693.00000000;100.69000244
NE;NORDESTE;2014-01-25;5927.00000000;42.90999985;5927.00000000;42.90999985
S;SUL;2014-01-25;7613.00000000;100.41999817;7552.00000000;99.61000061
SE;SUDESTE;2014-01-25;28864.00000000;52.20000076;28454.00000000;51.45999908
N;NORTE;2014-01-26;9975.00000000;103.62000275;9975.00000000;103.62000275
NE;NORDESTE;2014-01-26;5676.00000000;41.09999847;5676.00000000;41.09999847
S;SUL;2014-01-26;7681.00000000;101.30999756;7619.00000000;100.50000000
SE;SUDESTE;2014-01-26;28710.00000000;51.91999817;28323.00000000;51.22000122
N;NORTE;2014-01-27;10235.00000000;106.31999969;10235.00000000;106.31999969
NE;NORDESTE;2014-01-27;5496.00000000;39.79000092;5496.00000000;39.79000092
S;SUL;2014-01-27;7940.00000000;104.73000336;7896.00000000;104.15000153
SE;SUDESTE;2014-01-27;28342.00000000;51.25000000;27944.00000000;50.52999878
N;NORTE;2014-01-28;10511.00000000;109.19000244;10511.00000000;109.19000244
NE;NORDESTE;2014-01-28;5308.00000000;38.43000031;5303.00000000;38.40000153
S;SUL;2014-01-28;7607.00000000;100.33999634;7562.00000000;99.75000000
SE;SUDESTE;2014-01-28;27732.00000000;50.15000153;27233.00000000;49.25000000
N;NORTE;2014-01-29;10832.00000000;112.51999664;10832.00000000;112.51999664
NE;NORDESTE;2014-01-29;5151.00000000;37.29999924;5138.00000000;37.20000076
S;SUL;2014-01-29;7103.00000000;93.69000244;7059.00000000;93.11000061
SE;SUDESTE;2014-01-29;27016.00000000;48.86000061;26409.00000000;47.75999832
N;NORTE;2014-01-30;11122.00000000;115.54000092;11122.00000000;115.54000092
NE;NORDESTE;2014-01-30;5067.00000000;36.68999863;5067.00000000;36.68999863
S;SUL;2014-01-30;6491.00000000;85.62000275;6433.00000000;84.84999847
SE;SUDESTE;2014-01-30;26015.00000000;47.04999924;25445.00000000;46.00999832
N;NORTE;2014-01-31;11309.00000000;117.48000336;11309.00000000;117.48000336
NE;NORDESTE;2014-01-31;5034.00000000;36.45000076;5034.00000000;36.45000076
S;SUL;2014-01-31;5958.00000000;78.58999634;5907.00000000;77.91999817
SE;SUDESTE;2014-01-31;25022.00000000;45.25000000;24398.00000000;44.11999893
N;NORTE;2014-02-01;11505.00000000;89.08999634;11505.00000000;89.08999634
NE;NORDESTE;2014-02-01;5083.00000000;35.00999832;5065.00000000;34.88000107
S;SUL;2014-02-01;5370.00000000;63.49000168;5302.00000000;62.68999863
SE;SUDESTE;2014-02-01;24023.00000000;41.70000076;23493.00000000;40.77999878
N;NORTE;2014-02-02;11601.00000000;89.83000183;11601.00000000;89.83000183
NE;NORDESTE;2014-02-02;5172.00000000;35.61999893;5172.00000000;35.61999893
S;SUL;2014-02-02;4970.00000000;58.75999832;4893.00000000;57.84999847
SE;SUDESTE;2014-02-02;23058.00000000;40.02000046;22547.00000000;39.13000107
N;NORTE;2014-02-03;11639.00000000;90.12999725;11616.00000000;89.94999695
NE;NORDESTE;2014-02-03;5310.00000000;36.56999969;5310.00000000;36.56999969
S;SUL;2014-02-03;4659.00000000;55.08000183;4600.00000000;54.38999939
SE;SUDESTE;2014-02-03;22091.00000000;38.34000015;21561.00000000;37.41999817
N;NORTE;2014-02-04;11626.00000000;90.02999878;11582.00000000;89.68000031
NE;NORDESTE;2014-02-04;5485.00000000;37.77999878;5485.00000000;37.77999878
S;SUL;2014-02-04;4410.00000000;52.13999939;4352.00000000;51.45000076
SE;SUDESTE;2014-02-04;21133.00000000;36.68000031;20361.00000000;35.34000015
N;NORTE;2014-02-05;11612.00000000;89.91999817;11572.00000000;89.61000061
NE;NORDESTE;2014-02-05;5626.00000000;38.75000000;5625.00000000;38.74000168
S;SUL;2014-02-05;4208.00000000;49.75000000;4108.00000000;48.56999969
SE;SUDESTE;2014-02-05;20126.00000000;34.93000031;19292.00000000;33.47999954
N;NORTE;2014-02-06;11502.00000000;89.05999756;11452.00000000;88.68000031
NE;NORDESTE;2014-02-06;5668.00000000;39.04000092;5642.00000000;38.86000061
S;SUL;2014-02-06;4009.00000000;47.40000153;3920.00000000;46.34999847
SE;SUDESTE;2014-02-06;19245.00000000;33.40000153;18432.00000000;31.98999977
N;NORTE;2014-02-07;11359.00000000;87.95999908;11306.00000000;87.55000305
NE;NORDESTE;2014-02-07;5621.00000000;38.70999908;5614.00000000;38.66999817
S;SUL;2014-02-07;3829.00000000;45.27000046;3631.00000000;42.93000031
SE;SUDESTE;2014-02-07;18417.00000000;31.96999931;17636.00000000;30.61000061
N;NORTE;2014-02-08;11192.00000000;86.66000366;11137.00000000;86.23999786
NE;NORDESTE;2014-02-08;5455.00000000;37.56999969;5429.00000000;37.38999939
S;SUL;2014-02-08;3683.00000000;43.54000092;3469.00000000;41.00999832
SE;SUDESTE;2014-02-08;17817.00000000;30.92000008;16830.00000000;29.20999908
N;NORTE;2014-02-09;10985.00000000;85.05999756;10352.00000000;80.16000366
NE;NORDESTE;2014-02-09;5257.00000000;36.20999908;5228.00000000;36.00999832
S;SUL;2014-02-09;3592.00000000;42.47000122;3354.00000000;39.65000153
SE;SUDESTE;2014-02-09;17373.00000000;30.14999962;16329.00000000;28.34000015
N;NORTE;2014-02-10;10805.00000000;83.66999817;9946.00000000;77.01999664
NE;NORDESTE;2014-02-10;5011.00000000;34.50999832;5001.00000000;34.43999863
S;SUL;2014-02-10;3682.00000000;43.52999878;3480.00000000;41.13999939
SE;SUDESTE;2014-02-10;17043.00000000;29.57999992;16216.00000000;28.14999962
N;NORTE;2014-02-11;10689.00000000;82.76999664;10223.00000000;79.16000366
NE;NORDESTE;2014-02-11;4745.00000000;32.68000031;4732.00000000;32.59000015
S;SUL;2014-02-11;3639.00000000;43.02000046;3359.00000000;39.70999908
SE;SUDESTE;2014-02-11;16814.00000000;29.18000031;15710.00000000;27.27000046
