id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2021-01-01;6104.02783203;39.14179993;6104.02783203;39.14179993
NE;NORDESTE;2021-01-01;5371.07812500;39.75149918;5356.06298828;39.64039993
S;SUL;2021-01-01;5893.04394531;78.82720184;5490.96289063;73.44889832
SE;SUDESTE;2021-01-01;41167.16015625;62.56110001;40896.36718750;62.14960098
N;NORTE;2021-01-02;6100.04296875;39.11629868;6100.04296875;39.11629868
NE;NORDESTE;2021-01-02;5184.98291016;38.37419891;5164.24804688;38.22069931
S;SUL;2021-01-02;5815.21484375;77.78620148;5400.29980469;72.23609924
SE;SUDESTE;2021-01-02;41696.21484375;63.36510086;41396.55468750;62.90969849
N;NORTE;2021-01-03;6199.11621094;39.75159836;6199.11621094;39.75159836
NE;NORDESTE;2021-01-03;5160.51123047;38.19309998;5133.34082031;37.99200058
S;SUL;2021-01-03;5474.16015625;73.22409821;5070.31201172;67.82209778
SE;SUDESTE;2021-01-03;42514.99609375;64.60939789;41974.16015625;63.78749847
N;NORTE;2021-01-04;6390.48779297;40.97869873;6381.69189453;40.92229843
NE;NORDESTE;2021-01-04;5327.42675781;39.42839813;5308.12207031;39.28549957
S;SUL;2021-01-04;5071.24902344;67.83460236;4906.76806641;65.63449860
SE;SUDESTE;2021-01-04;43368.45312500;65.90630341;42416.00390625;64.45890045
N;NORTE;2021-01-05;6610.58398438;42.39009857;6599.99414063;42.32220078
NE;NORDESTE;2021-01-05;5579.18798828;41.29169846;5565.60302734;41.19120026
S;SUL;2021-01-05;4856.28808594;64.95929718;4776.20117188;63.88800049
SE;SUDESTE;2021-01-05;44044.42187500;66.93360138;42955.51953125;65.27880096
N;NORTE;2021-01-06;6597.31298828;42.30500031;6586.72314453;42.23709869
NE;NORDESTE;2021-01-06;5833.42919922;43.17340088;5820.55908203;43.07809830
S;SUL;2021-01-06;4953.44189453;66.25879669;4890.93310547;65.42269897
SE;SUDESTE;2021-01-06;44014.74218750;66.88849640;42923.23437500;65.22969818
N;NORTE;2021-01-07;6704.35400391;42.99140167;6693.40478516;42.92119980
NE;NORDESTE;2021-01-07;6053.89306641;44.80500031;6041.02294922;44.70980072
S;SUL;2021-01-07;5332.93212891;71.33499908;5277.29882813;70.59079742
SE;SUDESTE;2021-01-07;43066.78125000;65.44789886;42077.62109375;63.94469833
N;NORTE;2021-01-08;6853.90917969;43.95040131;6842.42089844;43.87670135
NE;NORDESTE;2021-01-08;6215.63281250;46.00210190;6202.04785156;45.90150070
S;SUL;2021-01-08;5377.31005859;71.92859650;5318.77587891;71.14559937
SE;SUDESTE;2021-01-08;42685.46875000;64.86840057;41913.68359375;63.69549942
N;NORTE;2021-01-09;6908.20800781;44.29859924;6908.20800781;44.29859924
NE;NORDESTE;2021-01-09;6318.81201172;46.76570129;6304.51220703;46.65990067
S;SUL;2021-01-09;5357.17187500;71.65920258;5220.32910156;69.82879639
SE;SUDESTE;2021-01-09;42495.48828125;64.57969666;41964.56640625;63.77289963
N;NORTE;2021-01-10;6848.99707031;43.91889954;6835.71386719;43.83369827
NE;NORDESTE;2021-01-10;6438.04101563;47.64810181;6418.73583984;47.50519943
S;SUL;2021-01-10;5244.03808594;70.14589691;4853.60205078;64.92330170
SE;SUDESTE;2021-01-10;42745.91015625;64.96029663;41409.76953125;62.92979813
N;NORTE;2021-01-11;6617.41015625;42.43379974;6606.45996094;42.36360168
