id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2011-01-01;4396.00000000;53.65999985;4396.00000000;53.65999985
NE;NORDESTE;2011-01-01;9308.00000000;67.38999939;9308.00000000;67.38999939
S;SUL;2011-01-01;10451.00000000;147.21000671;10339.00000000;145.63999939
SE;SUDESTE;2011-01-01;62939.00000000;114.56999969;57649.00000000;104.94000244
N;NORTE;2011-01-02;4459.00000000;54.43000031;4459.00000000;54.43000031
NE;NORDESTE;2011-01-02;8729.00000000;63.20000076;8729.00000000;63.20000076
S;SUL;2011-01-02;10032.00000000;141.30999756;9932.00000000;139.89999390
SE;SUDESTE;2011-01-02;65974.00000000;120.09999847;62496.00000000;113.76999664
N;NORTE;2011-01-03;4601.00000000;56.16999817;4601.00000000;56.16999817
NE;NORDESTE;2011-01-03;8252.00000000;59.75000000;8252.00000000;59.75000000
S;SUL;2011-01-03;10001.00000000;140.88000488;9924.00000000;139.78999329
SE;SUDESTE;2011-01-03;68024.00000000;123.83000183;64418.00000000;117.26000214
N;NORTE;2011-01-04;4795.00000000;58.54000092;4795.00000000;58.54000092
NE;NORDESTE;2011-01-04;7860.00000000;56.90999985;7860.00000000;56.90999985
S;SUL;2011-01-04;9421.00000000;132.71000671;9345.00000000;131.63999939
SE;SUDESTE;2011-01-04;70009.00000000;127.44000244;66512.00000000;121.08000183
N;NORTE;2011-01-05;5114.00000000;62.43000031;5114.00000000;62.43000031
NE;NORDESTE;2011-01-05;7771.00000000;56.27000046;7771.00000000;56.27000046
S;SUL;2011-01-05;8823.00000000;124.27999878;8746.00000000;123.19999695
SE;SUDESTE;2011-01-05;73151.00000000;133.16000366;69948.00000000;127.33000183
N;NORTE;2011-01-06;5600.00000000;68.36000061;5600.00000000;68.36000061
NE;NORDESTE;2011-01-06;7754.00000000;56.13999939;7754.00000000;56.13999939
S;SUL;2011-01-06;8251.00000000;116.22000122;7990.00000000;112.55000305
SE;SUDESTE;2011-01-06;75657.00000000;137.72000122;71588.00000000;130.32000732
N;NORTE;2011-01-07;6161.00000000;75.20999908;6161.00000000;75.20999908
NE;NORDESTE;2011-01-07;8101.00000000;58.65000153;8101.00000000;58.65000153
S;SUL;2011-01-07;8123.00000000;114.41999817;7995.00000000;112.62000275
SE;SUDESTE;2011-01-07;77189.00000000;140.50999451;73396.00000000;133.61000061
N;NORTE;2011-01-08;6777.00000000;82.73000336;6777.00000000;82.73000336
NE;NORDESTE;2011-01-08;8692.00000000;62.93000031;8692.00000000;62.93000031
S;SUL;2011-01-08;7938.00000000;111.81999969;7810.00000000;110.01000214
SE;SUDESTE;2011-01-08;77311.00000000;140.72999573;74003.00000000;134.71000671
N;NORTE;2011-01-09;7328.00000000;89.45999908;7328.00000000;89.45999908
NE;NORDESTE;2011-01-09;9607.00000000;69.55999756;9607.00000000;69.55999756
S;SUL;2011-01-09;7993.00000000;112.58999634;7843.00000000;110.48000336
SE;SUDESTE;2011-01-09;77310.00000000;140.72999573;74763.00000000;136.10000610
N;NORTE;2011-01-10;7738.00000000;94.45999908;7738.00000000;94.45999908
NE;NORDESTE;2011-01-10;11078.00000000;80.20999908;11078.00000000;80.20999908
S;SUL;2011-01-10;8040.00000000;113.25000000;7919.00000000;111.55000305
SE;SUDESTE;2011-01-10;77380.00000000;140.86000061;75185.00000000;136.86000061
N;NORTE;2011-01-11;8066.00000000;98.47000122;8066.00000000;98.47000122
NE;NORDESTE;2011-01-11;12066.00000000;87.36000061;12066.00000000;87.36000061
S;SUL;2011-01-11;8245.00000000;116.13999939;8110.00000000;114.23999786
SE;SUDESTE;2011-01-11;78351.00000000;142.63000488;76010.00000000;138.36999512
N;NORTE;2011-01-12;8367.00000000;102.13999939;8367.00000000;102.13999939
NE;NORDESTE;2011-01-12;12889.00000000;93.31999969;12889.00000000;93.31999969
S;SUL;2011-01-12;9386.00000000;132.21000671;9265.00000000;130.50999451
SE;SUDESTE;2011-01-12;79009.00000000;143.83000183;75818.00000000;138.02000427
N;NORTE;2011-01-13;8492.00000000;103.66999817;8492.00000000;103.66999817
NE;NORDESTE;2011-01-13;13864.00000000;100.37999725;13864.00000000;100.37999725
S;SUL;2011-01-13;10274.00000000;144.72000122;10004.00000000;140.91999817
SE;SUDESTE;2011-01-13;80612.00000000;146.74000549;76365.00000000;139.00999451
N;NORTE;2011-01-14;8364.00000000;102.09999847;8364.00000000;102.09999847
NE;NORDESTE;2011-01-14;14323.00000000;103.70999908;14323.00000000;103.70999908
S;SUL;2011-01-14;10089.00000000;142.11999512;9701.00000000;136.64999390
SE;SUDESTE;2011-01-14;82785.00000000;150.69999695;78200.00000000;142.35000610
N;NORTE;2011-01-15;8154.00000000;99.54000092;8154.00000000;99.54000092
NE;NORDESTE;2011-01-15;14683.00000000;106.30999756;14683.00000000;106.30999756
S;SUL;2011-01-15;9416.00000000;132.63999939;9004.00000000;126.83000183
SE;SUDESTE;2011-01-15;86070.00000000;156.67999268;80133.00000000;145.86999512
