id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2006-01-01;8617.00000000;105.19000244;8606.00000000;105.05999756
NE;NORDESTE;2006-01-01;14303.00000000;103.55999756;14303.00000000;103.55999756
S;SUL;2006-01-01;3007.00000000;53.43999863;2997.00000000;53.25999832
SE;SUDESTE;2006-01-01;40803.00000000;80.05999756;34424.00000000;67.55000305
N;NORTE;2006-01-02;8660.00000000;105.72000122;8645.00000000;105.52999878
NE;NORDESTE;2006-01-02;14467.00000000;104.75000000;14467.00000000;104.75000000
S;SUL;2006-01-02;3253.00000000;57.81000137;3228.00000000;57.36000061
SE;SUDESTE;2006-01-02;42948.00000000;84.26999664;38759.00000000;76.05000305
N;NORTE;2006-01-03;8744.00000000;106.73999786;8719.00000000;106.44000244
NE;NORDESTE;2006-01-03;15229.00000000;110.26999664;15229.00000000;110.26999664
S;SUL;2006-01-03;3378.00000000;60.02999878;3372.00000000;59.91999817
SE;SUDESTE;2006-01-03;45522.00000000;89.31999969;42979.00000000;84.33000183
N;NORTE;2006-01-04;8557.00000000;104.45999908;8521.00000000;104.01999664
NE;NORDESTE;2006-01-04;15095.00000000;109.29000092;15095.00000000;109.29000092
S;SUL;2006-01-04;3237.00000000;57.52000046;3230.00000000;57.40000153
SE;SUDESTE;2006-01-04;49744.00000000;97.61000061;46921.00000000;92.06999969
N;NORTE;2006-01-05;8858.00000000;108.12999725;8819.00000000;107.66000366
NE;NORDESTE;2006-01-05;15042.00000000;108.91000366;15042.00000000;108.91000366
S;SUL;2006-01-05;2905.00000000;51.61999893;2898.00000000;51.50000000
SE;SUDESTE;2006-01-05;56402.00000000;110.66999817;52272.00000000;102.56999969
N;NORTE;2006-01-06;8774.00000000;107.11000061;8740.00000000;106.69000244
NE;NORDESTE;2006-01-06;15004.00000000;108.63999939;15004.00000000;108.63999939
S;SUL;2006-01-06;2816.00000000;50.04000092;2809.00000000;49.91999817
SE;SUDESTE;2006-01-06;59749.00000000;117.23999786;54197.00000000;106.33999634
N;NORTE;2006-01-07;9104.00000000;111.13999939;9071.00000000;110.73000336
NE;NORDESTE;2006-01-07;14962.00000000;108.33000183;14962.00000000;108.33000183
S;SUL;2006-01-07;2732.00000000;48.54999924;2701.00000000;48.00000000
SE;SUDESTE;2006-01-07;59931.00000000;117.59999847;52367.00000000;102.75000000
N;NORTE;2006-01-08;9734.00000000;118.83000183;9701.00000000;118.43000031
NE;NORDESTE;2006-01-08;14956.00000000;108.29000092;14956.00000000;108.29000092
S;SUL;2006-01-08;2631.00000000;46.75000000;2622.00000000;46.59000015
SE;SUDESTE;2006-01-08;60685.00000000;119.08000183;52166.00000000;102.36000061
N;NORTE;2006-01-09;9855.00000000;120.30999756;9822.00000000;119.90000153
NE;NORDESTE;2006-01-09;15009.00000000;108.66999817;15009.00000000;108.66999817
S;SUL;2006-01-09;2526.00000000;44.88999939;2515.00000000;44.68999863
SE;SUDESTE;2006-01-09;60961.00000000;119.62000275;55176.00000000;108.26999664
N;NORTE;2006-01-10;10157.00000000;123.98999786;10128.00000000;123.63999939
NE;NORDESTE;2006-01-10;15066.00000000;109.08000183;15066.00000000;109.08000183
S;SUL;2006-01-10;2365.00000000;42.02999878;2353.00000000;41.81000137
SE;SUDESTE;2006-01-10;60621.00000000;118.94999695;55254.00000000;108.41999817
N;NORTE;2006-01-11;10466.00000000;127.76000214;10440.00000000;127.44999695
NE;NORDESTE;2006-01-11;15094.00000000;109.29000092;15094.00000000;109.29000092
S;SUL;2006-01-11;2277.00000000;40.45999908;2267.00000000;40.29000092
SE;SUDESTE;2006-01-11;59495.00000000;116.73999786;52869.00000000;103.73999786
N;NORTE;2006-01-12;10334.00000000;126.15000153;10313.00000000;125.90000153
NE;NORDESTE;2006-01-12;14996.00000000;108.58000183;14996.00000000;108.58000183
S;SUL;2006-01-12;2290.00000000;40.68999863;2280.00000000;40.52000046
SE;SUDESTE;2006-01-12;57869.00000000;113.55000305;53123.00000000;104.23999786
N;NORTE;2006-01-13;10179.00000000;124.26000214;10163.00000000;124.06999969
NE;NORDESTE;2006-01-13;14726.00000000;106.62000275;14726.00000000;106.62000275
S;SUL;2006-01-13;2335.00000000;41.49000168;2327.00000000;41.34999847
SE;SUDESTE;2006-01-13;55346.00000000;108.59999847;51159.00000000;100.37999725
N;NORTE;2006-01-14;10115.00000000;123.48000336;10099.00000000;123.27999878
NE;NORDESTE;2006-01-14;14320.00000000;103.68000031;14320.00000000;103.68000031
S;SUL;2006-01-14;2280.00000000;40.52000046;2273.00000000;40.38999939
SE;SUDESTE;2006-01-14;51593.00000000;101.23999786;46959.00000000;92.13999939
N;NORTE;2006-01-15;9895.00000000;120.79000092;9879.00000000;120.59999847
NE;NORDESTE;2006-01-15;13876.00000000;100.47000122;13876.00000000;100.47000122
S;SUL;2006-01-15;2195.00000000;39.00999832;2189.00000000;38.90000153
SE;SUDESTE;2006-01-15;48242.00000000;94.66000366;42066.00000000;82.54000092
N;NORTE;2006-01-16;9877.00000000;120.56999969;9860.00000000;120.37000275
