id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2001-01-01;10154.00000000;122.33999634;9033.00000000;108.83999634
NE;NORDESTE;2001-01-01;13472.00000000;101.48000336;13385.00000000;100.83000183
S;SUL;2001-01-01;7703.00000000;160.91000366;7703.00000000;160.91000366
SE;SUDESTE;2001-01-01;39186.00000000;86.98000336;37611.00000000;83.48999786
N;NORTE;2001-01-02;9590.00000000;115.55000305;8091.00000000;97.48999786
NE;NORDESTE;2001-01-02;13551.00000000;102.08000183;13465.00000000;101.43000031
S;SUL;2001-01-02;6730.00000000;140.58000183;6730.00000000;140.58000183
SE;SUDESTE;2001-01-02;41230.00000000;91.51999664;40063.00000000;88.93000031
N;NORTE;2001-01-03;9066.00000000;109.23999786;7213.00000000;86.91000366
NE;NORDESTE;2001-01-03;13551.00000000;102.08000183;13461.00000000;101.40000153
S;SUL;2001-01-03;5935.00000000;123.98000336;5935.00000000;123.98000336
SE;SUDESTE;2001-01-03;42794.00000000;94.98999786;41489.00000000;92.08999634
N;NORTE;2001-01-04;8600.00000000;103.62000275;6422.00000000;77.37999725
NE;NORDESTE;2001-01-04;13406.00000000;100.98000336;13310.00000000;100.26000214
S;SUL;2001-01-04;5455.00000000;113.94999695;5455.00000000;113.94999695
SE;SUDESTE;2001-01-04;42602.00000000;94.55999756;41495.00000000;92.11000061
N;NORTE;2001-01-05;8219.00000000;99.02999878;5800.00000000;69.87999725
NE;NORDESTE;2001-01-05;13263.00000000;99.91000366;13159.00000000;99.12000275
S;SUL;2001-01-05;5278.00000000;110.25000000;5278.00000000;110.25000000
SE;SUDESTE;2001-01-05;42038.00000000;93.30999756;41178.00000000;91.40000153
N;NORTE;2001-01-06;7968.00000000;96.01000214;5484.00000000;66.08000183
NE;NORDESTE;2001-01-06;13055.00000000;98.33999634;12958.00000000;97.61000061
S;SUL;2001-01-06;4970.00000000;103.81999969;4970.00000000;103.81999969
SE;SUDESTE;2001-01-06;39928.00000000;88.62999725;39344.00000000;87.33000183
N;NORTE;2001-01-07;7809.00000000;94.08999634;5325.00000000;64.16000366
NE;NORDESTE;2001-01-07;12677.00000000;95.48999786;12589.00000000;94.83000183
S;SUL;2001-01-07;4950.00000000;103.40000153;4950.00000000;103.40000153
SE;SUDESTE;2001-01-07;37795.00000000;83.88999939;37469.00000000;83.16999817
N;NORTE;2001-01-08;7742.00000000;93.27999878;5250.00000000;63.25999832
NE;NORDESTE;2001-01-08;12209.00000000;91.97000122;12125.00000000;91.33000183
S;SUL;2001-01-08;5095.00000000;106.43000031;5095.00000000;106.43000031
SE;SUDESTE;2001-01-08;36123.00000000;80.18000031;35941.00000000;79.77999878
N;NORTE;2001-01-09;7758.00000000;93.48000336;5021.00000000;60.50000000
NE;NORDESTE;2001-01-09;11612.00000000;87.47000122;11526.00000000;86.81999969
S;SUL;2001-01-09;5094.00000000;106.41000366;5094.00000000;106.41000366
SE;SUDESTE;2001-01-09;34561.00000000;76.72000122;34430.00000000;76.41999817
N;NORTE;2001-01-10;7792.00000000;93.88999939;4995.00000000;60.18000031
NE;NORDESTE;2001-01-10;11040.00000000;83.16000366;10951.00000000;82.48999786
S;SUL;2001-01-10;5535.00000000;115.62000275;5535.00000000;115.62000275
SE;SUDESTE;2001-01-10;33888.00000000;75.22000122;33773.00000000;74.97000122
N;NORTE;2001-01-11;7831.00000000;94.36000061;4833.00000000;58.22999954
NE;NORDESTE;2001-01-11;10629.00000000;80.06999969;10531.00000000;79.33000183
S;SUL;2001-01-11;6467.00000000;135.08999634;6467.00000000;135.08999634
SE;SUDESTE;2001-01-11;32501.00000000;72.13999939;32405.00000000;71.93000031
N;NORTE;2001-01-12;7869.00000000;94.80999756;4649.00000000;56.02000046
NE;NORDESTE;2001-01-12;10446.00000000;78.69000244;10350.00000000;77.95999908
S;SUL;2001-01-12;7045.00000000;147.16000366;7010.00000000;146.42999268
SE;SUDESTE;2001-01-12;31749.00000000;70.47000122;31675.00000000;70.30999756
N;NORTE;2001-01-13;7832.00000000;94.37000275;4300.00000000;51.81000137
NE;NORDESTE;2001-01-13;10280.00000000;77.44000244;10192.00000000;76.76999664
S;SUL;2001-01-13;7654.00000000;159.88000488;7546.00000000;157.63000488
SE;SUDESTE;2001-01-13;31849.00000000;70.69999695;31804.00000000;70.59999847
N;NORTE;2001-01-14;7784.00000000;93.79000092;4005.00000000;48.25999832
NE;NORDESTE;2001-01-14;10137.00000000;76.36000061;10052.00000000;75.72000122
S;SUL;2001-01-14;8086.00000000;168.91000366;7973.00000000;166.55000305
SE;SUDESTE;2001-01-14;34097.00000000;75.69000244;31971.00000000;70.97000122
N;NORTE;2001-01-15;7759.00000000;93.48999786;3703.00000000;44.61999893
NE;NORDESTE;2001-01-15;10236.00000000;77.11000061;10149.00000000;76.44999695
S;SUL;2001-01-15;8241.00000000;172.14999390;8128.00000000;169.78999329
SE;SUDESTE;2001-01-15;36740.00000000;81.55000305;34268.00000000;76.06999969
N;NORTE;2001-01-16;7702.00000000;92.80000305;3497.00000000;42.13999939
NE;NORDESTE;2001-01-16;10264.00000000;77.31999969;10179.00000000;76.68000031
S;SUL;2001-01-16;8131.00000000;169.85000610;7809.00000000;163.11999512
SE;SUDESTE;2001-01-16;36831.00000000;81.75000000;31675.00000000;70.30999756
N;NORTE;2001-01-17;7658.00000000;92.26999664;3421.00000000;41.22000122
NE;NORDESTE;2001-01-17;10182.00000000;76.69999695;10095.00000000;76.04000092
S;SUL;2001-01-17;8118.00000000;169.58000183;7740.00000000;161.67999268
SE;SUDESTE;2001-01-17;34815.00000000;77.27999878;29623.00000000;65.75000000
N;NORTE;2001-01-18;7629.00000000;91.91999817;3389.00000000;40.83000183
NE;NORDESTE;2001-01-18;10087.00000000;75.98000336;10001.00000000;75.33999634
S;SUL;2001-01-18;8380.00000000;175.05000305;7874.00000000;164.47999573
SE;SUDESTE;2001-01-18;32259.00000000;71.61000061;27912.00000000;61.95999908
N;NORTE;2001-01-19;7628.00000000;91.91000366;3602.00000000;43.40000153
NE;NORDESTE;2001-01-19;9901.00000000;74.58000183;9809.00000000;73.88999939
S;SUL;2001-01-19;8463.00000000;176.77999878;7982.00000000;166.74000549
SE;SUDESTE;2001-01-19;30048.00000000;66.69999695;27396.00000000;60.81000137
N;NORTE;2001-01-20;7638.00000000;92.02999878;3721.00000000;44.83000183
NE;NORDESTE;2001-01-20;9600.00000000;72.30999756;9509.00000000;71.62999725
S;SUL;2001-01-20;8965.00000000;187.27000427;8238.00000000;172.08000183
SE;SUDESTE;2001-01-20;28455.00000000;63.15999985;25762.00000000;57.18000031
N;NORTE;2001-01-21;7644.00000000;92.09999847;3713.00000000;44.74000168
NE;NORDESTE;2001-01-21;9184.00000000;69.18000031;9098.00000000;68.52999878
S;SUL;2001-01-21;10123.00000000;211.46000671;9057.00000000;189.19000244
SE;SUDESTE;2001-01-21;27227.00000000;60.43999863;22766.00000000;50.52999878
N;NORTE;2001-01-22;7627.00000000;91.90000153;3703.00000000;44.61999893
NE;NORDESTE;2001-01-22;8694.00000000;65.48999786;8607.00000000;64.83000183
S;SUL;2001-01-22;10526.00000000;219.88000488;9729.00000000;203.22999573
SE;SUDESTE;2001-01-22;26899.00000000;59.70999908;23977.00000000;53.22000122
N;NORTE;2001-01-23;7609.00000000;91.68000031;3688.00000000;44.43999863
NE;NORDESTE;2001-01-23;8169.00000000;61.54000092;8080.00000000;60.86000061
S;SUL;2001-01-23;10816.00000000;225.94000244;10500.00000000;219.33999634
SE;SUDESTE;2001-01-23;26947.00000000;59.81000137;23727.00000000;52.66999817
N;NORTE;2001-01-24;7573.00000000;91.25000000;3643.00000000;43.88999939
NE;NORDESTE;2001-01-24;7668.00000000;57.75999832;7573.00000000;57.04999924
