id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2002-01-01;8281.00000000;99.77999878;8281.00000000;99.77999878
NE;NORDESTE;2002-01-01;10373.00000000;78.13999939;10373.00000000;78.13999939
S;SUL;2002-01-01;3070.00000000;63.18999863;3070.00000000;63.18999863
SE;SUDESTE;2002-01-01;52108.00000000;110.25000000;46217.00000000;97.77999878
N;NORTE;2002-01-02;8657.00000000;104.30999756;8657.00000000;104.30999756
NE;NORDESTE;2002-01-02;10838.00000000;81.63999939;10838.00000000;81.63999939
S;SUL;2002-01-02;2939.00000000;60.50000000;2939.00000000;60.50000000
SE;SUDESTE;2002-01-02;51880.00000000;109.76000214;49710.00000000;105.16999817
N;NORTE;2002-01-03;8822.00000000;106.30000305;8822.00000000;106.30000305
NE;NORDESTE;2002-01-03;11208.00000000;84.43000031;11208.00000000;84.43000031
S;SUL;2002-01-03;2869.00000000;59.04999924;2869.00000000;59.04999924
SE;SUDESTE;2002-01-03;50755.00000000;107.37999725;49025.00000000;103.72000122
N;NORTE;2002-01-04;9344.00000000;112.58999634;9344.00000000;112.58999634
NE;NORDESTE;2002-01-04;13152.00000000;99.06999969;13152.00000000;99.06999969
S;SUL;2002-01-04;2713.00000000;55.84000015;2713.00000000;55.84000015
SE;SUDESTE;2002-01-04;49358.00000000;104.43000031;47842.00000000;101.22000122
N;NORTE;2002-01-05;9934.00000000;119.69000244;9934.00000000;119.69000244
NE;NORDESTE;2002-01-05;12782.00000000;96.27999878;12782.00000000;96.27999878
S;SUL;2002-01-05;2750.00000000;56.61000061;2750.00000000;56.61000061
SE;SUDESTE;2002-01-05;47497.00000000;100.48999786;46102.00000000;97.54000092
N;NORTE;2002-01-06;10522.00000000;126.77999878;10522.00000000;126.77999878
NE;NORDESTE;2002-01-06;16909.00000000;127.37000275;16909.00000000;127.37000275
S;SUL;2002-01-06;2685.00000000;55.27000046;2685.00000000;55.27000046
SE;SUDESTE;2002-01-06;45382.00000000;96.01999664;44097.00000000;93.30000305
N;NORTE;2002-01-07;11314.00000000;136.32000732;11314.00000000;136.32000732
NE;NORDESTE;2002-01-07;15807.00000000;119.06999969;15807.00000000;119.06999969
S;SUL;2002-01-07;2597.00000000;53.45999908;2597.00000000;53.45999908
SE;SUDESTE;2002-01-07;42965.00000000;90.90000153;42001.00000000;88.86000061
N;NORTE;2002-01-08;12112.00000000;145.94000244;11779.00000000;141.91999817
NE;NORDESTE;2002-01-08;16142.00000000;121.58999634;16142.00000000;121.58999634
S;SUL;2002-01-08;2512.00000000;51.70999908;2512.00000000;51.70999908
SE;SUDESTE;2002-01-08;41729.00000000;88.29000092;40974.00000000;86.69000244
N;NORTE;2002-01-09;12824.00000000;154.52000427;11930.00000000;143.74000549
NE;NORDESTE;2002-01-09;16981.00000000;127.91000366;16981.00000000;127.91000366
S;SUL;2002-01-09;2626.00000000;54.04999924;2626.00000000;54.04999924
SE;SUDESTE;2002-01-09;40707.00000000;86.12999725;40095.00000000;84.83000183
N;NORTE;2002-01-10;13479.00000000;162.41000366;11632.00000000;140.14999390
NE;NORDESTE;2002-01-10;14640.00000000;110.27999878;14640.00000000;110.27999878
S;SUL;2002-01-10;2955.00000000;60.83000183;2955.00000000;60.83000183
SE;SUDESTE;2002-01-10;40025.00000000;84.68000031;39352.00000000;83.26000214
N;NORTE;2002-01-11;14190.00000000;170.97000122;10890.00000000;131.21000671
NE;NORDESTE;2002-01-11;15082.00000000;113.61000061;15082.00000000;113.61000061
S;SUL;2002-01-11;3557.00000000;73.22000122;3557.00000000;73.22000122
SE;SUDESTE;2002-01-11;40705.00000000;86.12000275;40169.00000000;84.98999786
N;NORTE;2002-01-12;14912.00000000;179.66999817;9522.00000000;114.73000336
NE;NORDESTE;2002-01-12;16789.00000000;126.47000122;16789.00000000;126.47000122
S;SUL;2002-01-12;4272.00000000;87.93000031;4138.00000000;85.18000031
SE;SUDESTE;2002-01-12;42547.00000000;90.01999664;42220.00000000;89.33000183
N;NORTE;2002-01-13;15832.00000000;190.75999451;8691.00000000;104.72000122
NE;NORDESTE;2002-01-13;15505.00000000;116.80000305;15505.00000000;116.80000305
S;SUL;2002-01-13;5267.00000000;108.41000366;5267.00000000;108.41000366
SE;SUDESTE;2002-01-13;45989.00000000;97.30000305;45015.00000000;95.23999786
N;NORTE;2002-01-14;16660.00000000;200.74000549;8249.00000000;99.38999939
NE;NORDESTE;2002-01-14;16244.00000000;122.36000061;16207.00000000;122.08000183
S;SUL;2002-01-14;6098.00000000;125.51999664;6098.00000000;125.51999664
SE;SUDESTE;2002-01-14;50453.00000000;106.75000000;45785.00000000;96.87000275
N;NORTE;2002-01-15;17291.00000000;208.33999634;8154.00000000;98.25000000
NE;NORDESTE;2002-01-15;16191.00000000;121.95999908;15904.00000000;119.80000305
S;SUL;2002-01-15;6275.00000000;129.16000366;6275.00000000;129.16000366
SE;SUDESTE;2002-01-15;54942.00000000;116.23999786;49007.00000000;103.69000244
N;NORTE;2002-01-16;17974.00000000;216.57000732;8408.00000000;101.30999756
NE;NORDESTE;2002-01-16;16338.00000000;123.06999969;15893.00000000;119.72000122
S;SUL;2002-01-16;6036.00000000;124.23999786;6036.00000000;124.23999786
SE;SUDESTE;2002-01-16;57839.00000000;122.37000275;53370.00000000;112.91999817
N;NORTE;2002-01-17;18403.00000000;221.74000549;8389.00000000;101.08000183
NE;NORDESTE;2002-01-17;17738.00000000;133.61999512;17285.00000000;130.19999695
S;SUL;2002-01-17;5713.00000000;117.59999847;5713.00000000;117.59999847
SE;SUDESTE;2002-01-17;60599.00000000;128.21000671;57503.00000000;121.66000366
N;NORTE;2002-01-18;18669.00000000;224.94000244;8111.00000000;97.73000336
NE;NORDESTE;2002-01-18;20759.00000000;156.36999512;20293.00000000;152.86000061
S;SUL;2002-01-18;5400.00000000;111.15000153;5400.00000000;111.15000153
SE;SUDESTE;2002-01-18;62472.00000000;132.16999817;60088.00000000;127.12999725
N;NORTE;2002-01-19;18652.00000000;224.74000549;7862.00000000;94.73000336
NE;NORDESTE;2002-01-19;19932.00000000;150.13999939;19423.00000000;146.30999756
S;SUL;2002-01-19;5056.00000000;104.06999969;5056.00000000;104.06999969
SE;SUDESTE;2002-01-19;64596.00000000;136.66999817;61521.00000000;130.16000366
N;NORTE;2002-01-20;18751.00000000;225.92999268;7552.00000000;90.98999786
NE;NORDESTE;2002-01-20;19645.00000000;147.97999573;19077.00000000;143.69999695
S;SUL;2002-01-20;4792.00000000;98.63999939;4792.00000000;98.63999939
SE;SUDESTE;2002-01-20;62805.00000000;132.88000488;58628.00000000;124.04000092
N;NORTE;2002-01-21;18744.00000000;225.85000610;7033.00000000;84.73999786
NE;NORDESTE;2002-01-21;18551.00000000;139.74000549;17867.00000000;134.58999634
S;SUL;2002-01-21;4602.00000000;94.73000336;4602.00000000;94.73000336
SE;SUDESTE;2002-01-21;60844.00000000;128.72999573;56551.00000000;119.65000153
N;NORTE;2002-01-22;18744.00000000;225.85000610;6406.00000000;77.19000244
NE;NORDESTE;2002-01-22;16578.00000000;124.87999725;15683.00000000;118.13999939
S;SUL;2002-01-22;4498.00000000;92.58999634;4498.00000000;92.58999634
SE;SUDESTE;2002-01-22;58173.00000000;123.08000183;56192.00000000;118.88999939
N;NORTE;2002-01-23;18776.00000000;226.22999573;6175.00000000;74.40000153
NE;NORDESTE;2002-01-23;15211.00000000;114.58000183;14581.00000000;109.83999634
S;SUL;2002-01-23;4713.00000000;97.01000214;4713.00000000;97.01000214
SE;SUDESTE;2002-01-23;54894.00000000;116.13999939;53277.00000000;112.72000122
N;NORTE;2002-01-24;18942.00000000;228.22999573;5904.00000000;71.13999939
NE;NORDESTE;2002-01-24;13652.00000000;102.83999634;13042.00000000;98.23999786
S;SUL;2002-01-24;5269.00000000;108.45999908;5269.00000000;108.45999908
SE;SUDESTE;2002-01-24;51982.00000000;109.98000336;50216.00000000;106.23999786
N;NORTE;2002-01-25;19098.00000000;230.11000061;5315.00000000;64.04000092
NE;NORDESTE;2002-01-25;11970.00000000;90.16999817;11516.00000000;86.75000000
S;SUL;2002-01-25;7222.00000000;148.66000366;7222.00000000;148.66000366
SE;SUDESTE;2002-01-25;50318.00000000;106.45999908;46622.00000000;98.63999939
N;NORTE;2002-01-26;18923.00000000;228.00000000;4496.00000000;54.16999817
NE;NORDESTE;2002-01-26;12444.00000000;93.73999786;12116.00000000;91.26999664
S;SUL;2002-01-26;7435.00000000;153.03999329;7435.00000000;153.03999329
SE;SUDESTE;2002-01-26;49988.00000000;105.76000214;42280.00000000;89.44999695
N;NORTE;2002-01-27;18978.00000000;228.66000366;4034.00000000;48.61000061
NE;NORDESTE;2002-01-27;11751.00000000;88.51999664;11495.00000000;86.58999634
S;SUL;2002-01-27;7207.00000000;148.35000610;7207.00000000;148.35000610
SE;SUDESTE;2002-01-27;50010.00000000;105.80999756;39931.00000000;84.48000336
N;NORTE;2002-01-28;18968.00000000;228.53999329;4486.00000000;54.04999924
NE;NORDESTE;2002-01-28;12142.00000000;91.45999908;11905.00000000;89.68000031
S;SUL;2002-01-28;9505.00000000;195.64999390;9418.00000000;193.86000061
SE;SUDESTE;2002-01-28;49938.00000000;105.66000366;43035.00000000;91.05000305
N;NORTE;2002-01-29;18743.00000000;225.83000183;5290.00000000;63.74000168
NE;NORDESTE;2002-01-29;12824.00000000;96.59999847;12678.00000000;95.50000000
S;SUL;2002-01-29;9051.00000000;186.30000305;8962.00000000;184.47000122
SE;SUDESTE;2002-01-29;49375.00000000;104.45999908;41483.00000000;87.76999664
N;NORTE;2002-01-30;17825.00000000;214.77000427;5218.00000000;62.86999893
NE;NORDESTE;2002-01-30;13650.00000000;102.81999969;13650.00000000;102.81999969
S;SUL;2002-01-30;8308.00000000;171.00999451;8240.00000000;169.61000061
SE;SUDESTE;2002-01-30;49344.00000000;104.40000153;39686.00000000;83.97000122
N;NORTE;2002-01-31;16698.00000000;201.19000244;5774.00000000;69.56999969
NE;NORDESTE;2002-01-31;14190.00000000;106.88999939;14190.00000000;106.88999939
S;SUL;2002-01-31;7775.00000000;160.03999329;7537.00000000;155.13999939
SE;SUDESTE;2002-01-31;49933.00000000;105.65000153;39882.00000000;84.37999725
N;NORTE;2002-02-01;15373.00000000;136.88000488;5840.00000000;52.00000000
NE;NORDESTE;2002-02-01;14322.00000000;101.79000092;14322.00000000;101.79000092
S;SUL;2002-02-01;7603.00000000;142.55999756;5320.00000000;99.75000000
SE;SUDESTE;2002-02-01;49966.00000000;101.23000336;39435.00000000;79.90000153
N;NORTE;2002-02-02;14348.00000000;127.75000000;5660.00000000;50.38999939
NE;NORDESTE;2002-02-02;14556.00000000;103.44999695;14556.00000000;103.44999695
S;SUL;2002-02-02;6570.00000000;123.19000244;5265.00000000;98.72000122
SE;SUDESTE;2002-02-02;50472.00000000;102.26000214;38577.00000000;78.16000366
N;NORTE;2002-02-03;13526.00000000;120.43000031;5160.00000000;45.93999863
NE;NORDESTE;2002-02-03;14519.00000000;103.19000244;14519.00000000;103.19000244
S;SUL;2002-02-03;6040.00000000;113.25000000;5568.00000000;104.40000153
SE;SUDESTE;2002-02-03;50455.00000000;102.22000122;38674.00000000;78.34999847
N;NORTE;2002-02-04;13101.00000000;116.65000153;4739.00000000;42.18999863
NE;NORDESTE;2002-02-04;14406.00000000;102.38999939;14406.00000000;102.38999939
S;SUL;2002-02-04;5539.00000000;103.86000061;4443.00000000;83.30999756
SE;SUDESTE;2002-02-04;50518.00000000;102.34999847;41341.00000000;83.76000214
N;NORTE;2002-02-05;12895.00000000;114.80999756;4446.00000000;39.59000015
NE;NORDESTE;2002-02-05;14366.00000000;102.09999847;14366.00000000;102.09999847
S;SUL;2002-02-05;5192.00000000;97.34999847;4561.00000000;85.51999664
SE;SUDESTE;2002-02-05;50282.00000000;101.87000275;43056.00000000;87.23000336
