id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2022-01-01;29677.88476563;187.45449829;26966.54492188;170.32890320
NE;NORDESTE;2022-01-01;15137.64746094;112.30249786;13405.06445313;99.44889832
S;SUL;2022-01-01;1490.37805176;19.95549965;1034.97802734;13.85789967
SE;SUDESTE;2022-01-01;58823.66796875;89.51429749;50501.08984375;76.84950256
N;NORTE;2022-01-02;31030.27734375;195.99659729;28321.94726563;178.88999939
NE;NORDESTE;2022-01-02;15531.25781250;115.22260284;14134.83007813;104.86280060
S;SUL;2022-01-02;1561.03198242;20.90150070;1195.84301758;16.01180077
SE;SUDESTE;2022-01-02;61858.22265625;94.13210297;53804.88671875;81.87699890
N;NORTE;2022-01-03;32238.88476563;203.63059998;28423.39257813;179.53080750
NE;NORDESTE;2022-01-03;15569.07226563;115.50309753;14295.39941406;106.05410004
S;SUL;2022-01-03;1723.98999023;23.08349991;1516.98498535;20.31170082
SE;SUDESTE;2022-01-03;62744.54687500;95.48090363;55666.31250000;84.70960236
N;NORTE;2022-01-04;33142.42578125;209.33760071;27344.07421875;172.71350098
NE;NORDESTE;2022-01-04;15681.28515625;116.33560181;14443.11328125;107.14990234
S;SUL;2022-01-04;1886.99304199;25.26600075;1706.20202637;22.84530067
SE;SUDESTE;2022-01-04;66686.98437500;101.48020172;59202.50390625;90.09079742
N;NORTE;2022-01-05;33952.08593750;214.45170593;26264.29101563;165.89320374
NE;NORDESTE;2022-01-05;15675.98144531;116.29630280;14660.50097656;108.76270294
S;SUL;2022-01-05;1931.03894043;25.85569954;1749.05603027;23.41909981
SE;SUDESTE;2022-01-05;68380.49218750;104.05729675;61172.87890625;93.08920288
N;NORTE;2022-01-06;34699.10156250;219.17010498;26177.49609375;165.34500122
NE;NORDESTE;2022-01-06;15989.18945313;118.61990356;15126.57714844;112.22039795
S;SUL;2022-01-06;2014.37597656;26.97159958;1822.33996582;24.40029907
SE;SUDESTE;2022-01-06;68527.15625000;104.28050232;61516.62109375;93.61229706
N;NORTE;2022-01-07;35209.76171875;222.39549255;26045.51171875;164.51130676
NE;NORDESTE;2022-01-07;16499.06835938;122.40260315;15638.55468750;116.01860046
S;SUL;2022-01-07;2023.65698242;27.09589958;1843.16003418;24.67910004
SE;SUDESTE;2022-01-07;70721.39843750;107.61959839;63130.69531250;96.06849670
N;NORTE;2022-01-08;35565.72656250;224.64390564;25938.71679688;163.83680725
NE;NORDESTE;2022-01-08;16913.42578125;125.47660065;16025.55957031;118.88970184
S;SUL;2022-01-08;1949.33398438;26.10070038;1691.76696777;22.65200043
SE;SUDESTE;2022-01-08;74889.66406250;113.96260071;65979.82031250;100.40409851
N;NORTE;2022-01-09;35941.48046875;227.01730347;25973.75781250;164.05810547
NE;NORDESTE;2022-01-09;16811.59960938;124.72109985;16038.49511719;118.98570251
S;SUL;2022-01-09;1911.37597656;25.59250069;1537.39697266;20.58510017
SE;SUDESTE;2022-01-09;81365.03125000;123.81639862;68466.06250000;104.18750000
N;NORTE;2022-01-10;36460.29687500;230.29429626;25880.07812500;163.46640015
NE;NORDESTE;2022-01-10;16666.44335938;123.64430237;16049.76464844;119.06929779
S;SUL;2022-01-10;1920.08496094;25.70910072;1665.16894531;22.29590034
