id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2003-01-01;3848.00000000;46.36000061;3848.00000000;46.36000061
NE;NORDESTE;2003-01-01;9818.00000000;73.95999908;9818.00000000;73.95999908
S;SUL;2003-01-01;7090.00000000;133.22000122;6599.00000000;123.98999786
SE;SUDESTE;2003-01-01;30322.00000000;61.18999863;27469.00000000;55.43000031
N;NORTE;2003-01-02;4057.00000000;48.88000107;4057.00000000;48.88000107
NE;NORDESTE;2003-01-02;9128.00000000;68.76000214;9128.00000000;68.76000214
S;SUL;2003-01-02;6835.00000000;128.41999817;6586.00000000;123.75000000
SE;SUDESTE;2003-01-02;31242.00000000;63.04000092;30441.00000000;61.43000031
N;NORTE;2003-01-03;4363.00000000;52.56999969;4363.00000000;52.56999969
NE;NORDESTE;2003-01-03;8934.00000000;67.30000305;8934.00000000;67.30000305
S;SUL;2003-01-03;6879.00000000;129.25000000;6712.00000000;126.11000061
SE;SUDESTE;2003-01-03;33301.00000000;67.19999695;32202.00000000;64.98000336
N;NORTE;2003-01-04;4647.00000000;55.99000168;4647.00000000;55.99000168
NE;NORDESTE;2003-01-04;8978.00000000;67.62999725;8978.00000000;67.62999725
S;SUL;2003-01-04;7255.00000000;136.32000732;7058.00000000;132.61000061
SE;SUDESTE;2003-01-04;36186.00000000;73.01999664;34761.00000000;70.13999939
N;NORTE;2003-01-05;4908.00000000;59.13999939;4908.00000000;59.13999939
NE;NORDESTE;2003-01-05;8459.00000000;63.72000122;8459.00000000;63.72000122
S;SUL;2003-01-05;7501.00000000;140.94000244;7344.00000000;137.99000549
SE;SUDESTE;2003-01-05;39761.00000000;80.23000336;38014.00000000;76.70999908
N;NORTE;2003-01-06;5139.00000000;61.91999817;5139.00000000;61.91999817
NE;NORDESTE;2003-01-06;8624.00000000;64.95999908;8624.00000000;64.95999908
S;SUL;2003-01-06;7260.00000000;136.41000366;7111.00000000;133.61000061
SE;SUDESTE;2003-01-06;42233.00000000;85.22000122;41104.00000000;82.94000244
N;NORTE;2003-01-07;5447.00000000;65.62999725;5447.00000000;65.62999725
NE;NORDESTE;2003-01-07;8602.00000000;64.80000305;8602.00000000;64.80000305
S;SUL;2003-01-07;6591.00000000;123.83999634;6399.00000000;120.23000336
SE;SUDESTE;2003-01-07;44176.00000000;89.13999939;43032.00000000;86.83000183
N;NORTE;2003-01-08;5469.00000000;65.90000153;5469.00000000;65.90000153
NE;NORDESTE;2003-01-08;8566.00000000;64.52999878;8566.00000000;64.52999878
S;SUL;2003-01-08;5998.00000000;112.69999695;5837.00000000;109.66999817
SE;SUDESTE;2003-01-08;46234.00000000;93.30000305;44468.00000000;89.73000336
N;NORTE;2003-01-09;5463.00000000;65.81999969;5463.00000000;65.81999969
