id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2019-01-01;7804.24804688;49.72579956;7534.39404297;48.00640106
NE;NORDESTE;2019-01-01;5676.43701172;41.55459976;5661.76806641;41.44720078
S;SUL;2019-01-01;4928.77197266;66.72329712;4815.20312500;65.18589783
SE;SUDESTE;2019-01-01;46731.73828125;71.58519745;41750.05859375;63.95410156
N;NORTE;2019-01-02;8269.73437500;52.69179916;8104.45312500;51.63859940
NE;NORDESTE;2019-01-02;5312.56689453;38.89089966;5312.56689453;38.89089966
S;SUL;2019-01-02;4669.20117188;63.20940018;4463.85009766;60.42950058
SE;SUDESTE;2019-01-02;47043.21875000;72.06240082;44526.61718750;68.20739746
N;NORTE;2019-01-03;8988.41992188;57.27099991;8867.96875000;56.50350189
NE;NORDESTE;2019-01-03;4918.49316406;36.00600052;4916.22998047;35.98949814
S;SUL;2019-01-03;4474.52001953;60.57389832;4363.26513672;59.06779861
SE;SUDESTE;2019-01-03;46788.71093750;71.67250061;44931.36328125;68.82740021
N;NORTE;2019-01-04;9804.41699219;62.47019958;9676.56152344;61.65560150
NE;NORDESTE;2019-01-04;4600.75878906;33.68000031;4600.75878906;33.68000031
S;SUL;2019-01-04;4411.37109375;59.71900177;4292.78710938;58.11370087
SE;SUDESTE;2019-01-04;46832.73828125;71.73989868;45110.65234375;69.10199738
N;NORTE;2019-01-05;10084.52539063;64.25499725;9981.41796875;63.59799957
NE;NORDESTE;2019-01-05;4493.56298828;32.89530182;4477.56298828;32.77819824
S;SUL;2019-01-05;4580.23486328;62.00500107;4514.41015625;61.11389923
SE;SUDESTE;2019-01-05;46711.75000000;71.55460358;45152.87500000;69.16670227
N;NORTE;2019-01-06;10246.32519531;65.28589630;10143.75390625;64.63230133
NE;NORDESTE;2019-01-06;4285.83496094;31.37459946;4274.03710938;31.28829956
S;SUL;2019-01-06;4777.54101563;64.67600250;4704.23583984;63.68370056
SE;SUDESTE;2019-01-06;47031.37890625;72.04419708;45060.16015625;69.02459717
