id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2016-01-01;1878.00000000;18.85000038;1857.00000000;18.62999916
NE;NORDESTE;2016-01-01;3415.00000000;24.72999954;3388.00000000;24.53000069
S;SUL;2016-01-01;23255.00000000;306.73999023;9469.00000000;124.90000153
SE;SUDESTE;2016-01-01;50215.00000000;80.41000366;31962.00000000;51.18000031
N;NORTE;2016-01-02;1884.00000000;18.90999985;1868.00000000;18.73999977
NE;NORDESTE;2016-01-02;3342.00000000;24.20000076;3314.00000000;23.98999977
S;SUL;2016-01-02;24500.00000000;323.16000366;7179.00000000;94.69000244
SE;SUDESTE;2016-01-02;51937.00000000;83.16999817;34210.00000000;54.77999878
N;NORTE;2016-01-03;1940.00000000;19.46999931;1931.00000000;19.37999916
NE;NORDESTE;2016-01-03;3130.00000000;22.65999985;3104.00000000;22.46999931
S;SUL;2016-01-03;23315.00000000;307.52999878;9036.00000000;119.19000244
SE;SUDESTE;2016-01-03;53468.00000000;85.62000275;36165.00000000;57.90999985
N;NORTE;2016-01-04;1965.00000000;19.71999931;1956.00000000;19.62999916
NE;NORDESTE;2016-01-04;2938.00000000;21.27000046;2906.00000000;21.04000092
S;SUL;2016-01-04;21148.00000000;278.95001221;15019.00000000;198.11000061
SE;SUDESTE;2016-01-04;54512.00000000;87.29000092;37480.00000000;60.02000046
N;NORTE;2016-01-05;2006.00000000;20.12999916;1996.00000000;20.03000069
NE;NORDESTE;2016-01-05;2999.00000000;21.70999908;2967.00000000;21.47999954
S;SUL;2016-01-05;19398.00000000;255.86999512;14785.00000000;195.02000427
SE;SUDESTE;2016-01-05;55056.00000000;88.16000366;39731.00000000;63.61999893
N;NORTE;2016-01-06;2021.00000000;20.28000069;2002.00000000;20.09000015
NE;NORDESTE;2016-01-06;3447.00000000;24.95999908;3416.00000000;24.72999954
S;SUL;2016-01-06;18635.00000000;245.80000305;12385.00000000;163.36000061
SE;SUDESTE;2016-01-06;55428.00000000;88.76000214;40614.00000000;65.04000092
N;NORTE;2016-01-07;2084.00000000;20.90999985;2067.00000000;20.73999977
NE;NORDESTE;2016-01-07;4055.00000000;29.36000061;4039.00000000;29.23999977
S;SUL;2016-01-07;17942.00000000;236.66000366;12789.00000000;168.69000244
SE;SUDESTE;2016-01-07;55479.00000000;88.83999634;42337.00000000;67.80000305
N;NORTE;2016-01-08;2203.00000000;22.11000061;2194.00000000;22.02000046
NE;NORDESTE;2016-01-08;4215.00000000;30.52000046;4189.00000000;30.32999992
S;SUL;2016-01-08;17479.00000000;230.55000305;12254.00000000;161.63000488
SE;SUDESTE;2016-01-08;55529.00000000;88.91999817;42005.00000000;67.26000214
N;NORTE;2016-01-09;2375.00000000;23.82999992;2365.00000000;23.72999954
NE;NORDESTE;2016-01-09;4166.00000000;30.15999985;4134.00000000;29.93000031
S;SUL;2016-01-09;17105.00000000;225.61999512;12582.00000000;165.96000671
SE;SUDESTE;2016-01-09;56819.00000000;90.98999786;42977.00000000;68.81999969
N;NORTE;2016-01-10;2585.00000000;25.94000053;2575.00000000;25.84000015
