id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2025-01-01;9291.126;58.4991;9291.126;58.4991
NE;NORDESTE;2025-01-01;6223.848;46.1405;6213.838;46.0662
S;SUL;2025-01-01;8134.757;107.9106;7728.813;102.5256
SE;SUDESTE;2025-01-01;64049.939;97.1217;57714.139;87.5144
N;NORTE;2025-01-02;9603.048;60.463;9390.149;59.1225
NE;NORDESTE;2025-01-02;5758.234;42.6886;5747.509;42.6091
S;SUL;2025-01-02;8196.74;108.7328;7633.082;101.2557
SE;SUDESTE;2025-01-02;65769.473;99.7291;63619.009;96.4682
N;NORTE;2025-01-03;10016.821;63.0682;10016.821;63.0682
NE;NORDESTE;2025-01-03;6814.541;50.5196;6804.531;50.4453
S;SUL;2025-01-03;8331.427;110.5195;7633.728;101.2642
SE;SUDESTE;2025-01-03;67182.701;101.872;65202.929;98.87
N;NORTE;2025-01-04;10436.918;65.7132;10420.249;65.6083
NE;NORDESTE;2025-01-04;7209.904;53.4506;7184.879;53.2651
S;SUL;2025-01-04;7461.983;98.986;7093.374;94.0962
SE;SUDESTE;2025-01-04;67087.116;101.7271;64922.208;98.4443
N;NORTE;2025-01-05;10791.58;67.9463;10769.003;67.8041
NE;NORDESTE;2025-01-05;7746.611;57.4294;7719.441;57.228
S;SUL;2025-01-05;6583.374;87.3309;6330.565;83.9773
SE;SUDESTE;2025-01-05;66970.588;101.5504;64101.146;97.1993
N;NORTE;2025-01-06;11259.727;70.8938;11234.688;70.7362
NE;NORDESTE;2025-01-06;8370.697;62.0561;8348.532;61.8918
S;SUL;2025-01-06;5944.206;78.8521;5803.362;76.9838
SE;SUDESTE;2025-01-06;66844.101;101.3586;65365.315;99.1162
N;NORTE;2025-01-07;11757.973;74.0309;11728.65;73.8463
NE;NORDESTE;2025-01-07;8990.514;66.6511;8972.639;66.5186
S;SUL;2025-01-07;5463.798;72.4793;5346.586;70.9245
SE;SUDESTE;2025-01-07;66210.57;100.3979;64835.666;98.3131
N;NORTE;2025-01-08;12394.632;78.0395;12339.971;77.6953
NE;NORDESTE;2025-01-08;9555.221;70.8376;9543.781;70.7528
S;SUL;2025-01-08;5077.516;67.3551;4952.441;65.696
SE;SUDESTE;2025-01-08;66099.474;100.2295;64337.62;97.5579
N;NORTE;2025-01-09;12840.797;80.8486;12744.797;80.2442
NE;NORDESTE;2025-01-09;10138.732;75.1634;10116.567;74.9991
S;SUL;2025-01-09;4881.608;64.7563;4747.824;62.9817
SE;SUDESTE;2025-01-09;67446.888;102.2726;65361.066;99.1098
N;NORTE;2025-01-10;13369.926;84.1801;13209.267;83.1686
NE;NORDESTE;2025-01-10;10666.882;79.0789;10666.882;79.0789
S;SUL;2025-01-10;4645.839;61.6288;4485.151;59.4972
SE;SUDESTE;2025-01-10;67913.807;102.9806;64892.941;98.3999
N;NORTE;2025-01-11;14053.371;88.4833;13677.098;86.1142
NE;NORDESTE;2025-01-11;11622.138;86.1606;11565.653;85.7419
S;SUL;2025-01-11;4572.909;60.6613;4409.666;58.4959
SE;SUDESTE;2025-01-11;67728.593;102.6998;63864.138;96.8399
N;NORTE;2025-01-12;14978.397;94.3074;14506.292;91.3349
NE;NORDESTE;2025-01-12;12666.766;93.905;12252.066;90.8306
S;SUL;2025-01-12;4648.802;61.6681;4507.795;59.7976
SE;SUDESTE;2025-01-12;66268.645;100.486;61877.924;93.8281
N;NORTE;2025-01-13;15670.467;98.6649;15320.232;96.4597
NE;NORDESTE;2025-01-13;14105.46;104.5707;13877.375;102.8798
S;SUL;2025-01-13;4561.487;60.5098;4391.782;58.2586
SE;SUDESTE;2025-01-13;65535.77;99.3747;62512.215;94.79
N;NORTE;2025-01-14;16354.002;102.9686;16079.013;101.2372
NE;NORDESTE;2025-01-14;15751.324;116.7723;15523.239;115.0814
S;SUL;2025-01-14;4300.024;57.0414;4152.17;55.0801
SE;SUDESTE;2025-01-14;66504.228;100.8432;62733.151;95.125
N;NORTE;2025-01-15;16981.424;106.9189;16737.916;105.3858
NE;NORDESTE;2025-01-15;17596.327;130.4503;17240.972;127.8158
S;SUL;2025-01-15;4005.47;53.134;3882.285;51.5
SE;SUDESTE;2025-01-15;70115.045;106.3184;65419.98;99.1991
N;NORTE;2025-01-16;17717.43;111.553;17505.164;110.2165
NE;NORDESTE;2025-01-16;18796.274;139.3461;18364.414;136.1445
S;SUL;2025-01-16;3823.916;50.7257;3688.196;48.9253
SE;SUDESTE;2025-01-16;71360.226;108.2066;66718.969;101.1688
N;NORTE;2025-01-17;18261.632;114.9794;17929.096;112.8857
NE;NORDESTE;2025-01-17;19552.672;144.9536;19020.771;141.0104
S;SUL;2025-01-17;3760.808;49.8885;3646.749;48.3755
SE;SUDESTE;2025-01-17;70375.92;106.714;64984.772;98.5392
N;NORTE;2025-01-18;18869.134;118.8044;18303.654;115.244
NE;NORDESTE;2025-01-18;19906.246;147.5748;18821.767;139.535
S;SUL;2025-01-18;3742.793;49.6495;3617.737;47.9906
SE;SUDESTE;2025-01-18;67902.757;102.9639;61612.41;93.4255
N;NORTE;2025-01-19;19668.053;123.8346;19175.157;120.7312
NE;NORDESTE;2025-01-19;18952.338;140.503;18252.833;135.3173
S;SUL;2025-01-19;3756.272;49.8283;3508.121;46.5365
SE;SUDESTE;2025-01-19;66762.88;101.2354;60815.103;92.2165
N;NORTE;2025-01-20;20480.503;128.95;19904.694;125.3245
