DATE;CODE;RAW DATE;DAY;MONTH;YEAR;VALUE (R$ ou u.m.c.)
1985-02-28;GM366_ERC366;1985-02-28T00:00:00-03:00;28;2;1985;1,42945454545455e-09
1985-03-01;GM366_ERC366;1985-03-01T00:00:00-03:00;1;3;1985;1,42945454545455e-09
1985-03-02;GM366_ERC366;1985-03-02T00:00:00-03:00;2;3;1985;
1985-03-03;GM366_ERC366;1985-03-03T00:00:00-03:00;3;3;1985;
1985-03-04;GM366_ERC366;1985-03-04T00:00:00-03:00;4;3;1985;1,42945454545455e-09
1985-03-05;GM366_ERC366;1985-03-05T00:00:00-03:00;5;3;1985;1,45345454545455e-09
1985-03-06;GM366_ERC366;1985-03-06T00:00:00-03:00;6;3;1985;1,45345454545455e-09
1985-03-07;GM366_ERC366;1985-03-07T00:00:00-03:00;7;3;1985;1,45345454545455e-09
1985-03-08;GM366_ERC366;1985-03-08T00:00:00-03:00;8;3;1985;1,45345454545455e-09
1985-03-09;GM366_ERC366;1985-03-09T00:00:00-03:00;9;3;1985;
1985-03-10;GM366_ERC366;1985-03-10T00:00:00-03:00;10;3;1985;
1985-03-11;GM366_ERC366;1985-03-11T00:00:00-03:00;11;3;1985;1,47927272727273e-09
1985-03-12;GM366_ERC366;1985-03-12T00:00:00-03:00;12;3;1985;1,47927272727273e-09
1985-03-13;GM366_ERC366;1985-03-13T00:00:00-03:00;13;3;1985;1,47927272727273e-09
1985-03-14;GM366_ERC366;1985-03-14T00:00:00-03:00;14;3;1985;1,50545454545455e-09
1985-03-15;GM366_ERC366;1985-03-15T00:00:00-03:00;15;3;1985;1,50545454545455e-09
1985-03-16;GM366_ERC366;1985-03-16T00:00:00-03:00;16;3;1985;
1985-03-17;GM366_ERC366;1985-03-17T00:00:00-03:00;17;3;1985;
1985-03-18;GM366_ERC366;1985-03-18T00:00:00-03:00;18;3;1985;1,50545454545455e-09
1985-03-19;GM366_ERC366;1985-03-19T00:00:00-03:00;19;3;1985;1,50545454545455e-09
