DATE;CODE;RAW DATE;DAY;MONTH;YEAR;VALUE (-)
2023-02-01;FUNCEX12_MPEPET2N12;2023-02-01T00:00:00-03:00;1;2;2023;122,42
2023-03-01;FUNCEX12_MPEPET2N12;2023-03-01T00:00:00-03:00;1;3;2023;120,08
2023-04-01;FUNCEX12_MPEPET2N12;2023-04-01T00:00:00-03:00;1;4;2023;116,12
2023-05-01;FUNCEX12_MPEPET2N12;2023-05-01T00:00:00-03:00;1;5;2023;112,09
2023-06-01;FUNCEX12_MPEPET2N12;2023-06-01T00:00:00-03:00;1;6;2023;102,49
2023-07-01;FUNCEX12_MPEPET2N12;2023-07-01T00:00:00-03:00;1;7;2023;115,05
2023-08-01;FUNCEX12_MPEPET2N12;2023-08-01T00:00:00-03:00;1;8;2023;121,97
2023-09-01;FUNCEX12_MPEPET2N12;2023-09-01T00:00:00-03:00;1;9;2023;118,22
2023-10-01;FUNCEX12_MPEPET2N12;2023-10-01T00:00:00-03:00;1;10;2023;126,48
2023-11-01;FUNCEX12_MPEPET2N12;2023-11-01T00:00:00-03:00;1;11;2023;126,9
2023-12-01;FUNCEX12_MPEPET2N12;2023-12-01T00:00:00-03:00;1;12;2023;129,11
2024-01-01;FUNCEX12_MPEPET2N12;2024-01-01T00:00:00-03:00;1;1;2024;117,0
2024-02-01;FUNCEX12_MPEPET2N12;2024-02-01T00:00:00-03:00;1;2;2024;119,72
2024-03-01;FUNCEX12_MPEPET2N12;2024-03-01T00:00:00-03:00;1;3;2024;119,14
2024-04-01;FUNCEX12_MPEPET2N12;2024-04-01T00:00:00-03:00;1;4;2024;126,49
2024-05-01;FUNCEX12_MPEPET2N12;2024-05-01T00:00:00-03:00;1;5;2024;141,31
2024-06-01;FUNCEX12_MPEPET2N12;2024-06-01T00:00:00-03:00;1;6;2024;125,93
2024-07-01;FUNCEX12_MPEPET2N12;2024-07-01T00:00:00-03:00;1;7;2024;123,36
2024-08-01;FUNCEX12_MPEPET2N12;2024-08-01T00:00:00-03:00;1;8;2024;125,22
2024-09-01;FUNCEX12_MPEPET2N12;2024-09-01T00:00:00-03:00;1;9;2024;120,67
2024-10-01;FUNCEX12_MPEPET2N12;2024-10-01T00:00:00-03:00;1;10;2024;110,28
2024-11-01;FUNCEX12_MPEPET2N12;2024-11-01T00:00:00-03:00;1;11;2024;111,51
2024-12-01;FUNCEX12_MPEPET2N12;2024-12-01T00:00:00-03:00;1;12;2024;109,14
2025-01-01;FUNCEX12_MPEPET2N12;2025-01-01T00:00:00-03:00;1;1;2025;109,47
2025-02-01;FUNCEX12_MPEPET2N12;2025-02-01T00:00:00-03:00;1;2;2025;119,0
2025-03-01;FUNCEX12_MPEPET2N12;2025-03-01T00:00:00-03:00;1;3;2025;116,79
2025-04-01;FUNCEX12_MPEPET2N12;2025-04-01T00:00:00-03:00;1;4;2025;114,46
2025-05-01;FUNCEX12_MPEPET2N12;2025-05-01T00:00:00-03:00;1;5;2025;105,53
